row_label_raw,row_label_full,02. Đầu tư tài chính (Tiếp theo),31/12/2018 > Giá gốc,31/12/2018 > Điều chỉnh theo phương pháp VCSH,31/12/2018 > Giá trị hợp lý,01/06/2018 > Giá gốc,01/06/2018 > Điều chỉnh theo phương pháp VCSH,01/06/2018 > Giá trị hợp lý,numeric__31/12/2018 > Giá gốc,numeric__31/12/2018 > Điều chỉnh theo phương pháp VCSH,numeric__31/12/2018 > Giá trị hợp lý,numeric__01/06/2018 > Giá gốc,numeric__01/06/2018 > Điều chỉnh theo phương pháp VCSH,numeric__01/06/2018 > Giá trị hợp lý
"02.3. Đầu tư vào công ty liên doanh, liên kết","02.3. Đầu tư vào công ty liên doanh, liên kết","02.3. Đầu tư vào công ty liên doanh, liên kết",1.908.513.003.597,518.071.952.441,2.426.584.956.038,1.908.513.003.597,457.554.877.159,2.366.067.880.756,1908513003597.0,518071952441.0,2426584956038.0,1908513003597.0,457554877159.0,2366067880756.0
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,48.139.152.723,(627.294.898),47.511.857.825,48.139.152.723,3.887.585.569,52.026.738.292,48139152723.0,-627294898.0,47511857825.0,48139152723.0,3887585569.0,52026738292.0
Công ty Cổ phần KCN Hồ Nai,Công ty Cổ phần KCN Hồ Nai,Công ty Cổ phần KCN Hồ Nai,48.449.865.353,15.260.620.183,63.710.485.536,48.449.865.353,8.800.263.500,57.250.128.853,48449865353.0,15260620183.0,63710485536.0,48449865353.0,8800263500.0,57250128853.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,52.897.844.479,25.100.410.345,77.998.254.824,52.897.844.479,25.100.410.345,77.998.254.824,52897844479.0,25100410345.0,77998254824.0,52897844479.0,25100410345.0,77998254824.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,26.350.000.000,12.647.840.852,38.997.840.852,26.350.000.000,11.659.061.256,38.009.061.256,26350000000.0,12647840852.0,38997840852.0,26350000000.0,11659061256.0,38009061256.0
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,214.365.645.090,15.166.516.077,229.532.161.167,214.365.645.090,(15.981.340.927),198.384.304.163,214365645090.0,15166516077.0,229532161167.0,214365645090.0,-15981340927.0,198384304163.0
Công ty Cổ phần Du lịch Cao su Hàm Rồng,Công ty Cổ phần Du lịch Cao su Hàm Rồng,Công ty Cổ phần Du lịch Cao su Hàm Rồng,51.542.820.445,12.434.275.027,63.977.095.472,51.542.820.445,12.434.275.027,63.977.095.472,51542820445.0,12434275027.0,63977095472.0,51542820445.0,12434275027.0,63977095472.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,1.004.392.840.663,490.646.491.673,1.495.039.332.336,1.004.392.840.663,434.421.250.140,1.438.814.090.803,1004392840663.0,490646491673.0,1495039332336.0,1004392840663.0,434421250140.0,1438814090803.0
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,34.588.899.115,(10.860.811.699),23.728.087.416,34.588.899.115,9.286.912.438,43.875.811.553,34588899115.0,-10860811699.0,23728087416.0,34588899115.0,9286912438.0,43875811553.0
Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,12.410.005.017,(9.203.997.653),3.206.007.364,12.410.005.017,(8.911.660.421),3.498.344.596,12410005017.0,-9203997653.0,3206007364.0,12410005017.0,-8911660421.0,3498344596.0
