row_label_raw,row_label_full,Stt,Đơn vị được bảo lãnh,Thư bảo lãnh số,Ngày bảo lãnh,"Đơn vị nhận bảo lãnh, ủy thác",Số tiền bảo lãnh > USD,Số tiền bảo lãnh > VND,Mục đích bảo lãnh,numeric__Đơn vị được bảo lãnh,numeric__Thư bảo lãnh số,numeric__Ngày bảo lãnh,"numeric__Đơn vị nhận bảo lãnh, ủy thác",numeric__Số tiền bảo lãnh > USD,numeric__Số tiền bảo lãnh > VND,numeric__Mục đích bảo lãnh
(1),(1),(1),(2),(3),(4),(5),(6),(7),(8),-2.0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0
1,1,1,Công ty TNHH MTV Cao su Hà Tĩnh,954/CSVN-TCKT,01/11/2010,SHB-NA,,97.968.024.000,Chăm sóc cao su KTCB,,,,,,97968024000.0,
2,2,2,Công ty TNHH MTV Cao su Hà Tĩnh,3475/CTBL-CSVN,5/12/2013,SHB-CN Nghệ An,,84.605.486.000,Đầu tư dự án (trả nợ cho RFC),,,,,,84605486000.0,
3,3,3,Công ty TNHH MTV Cao su Hà Tĩnh,911/CSVN-TCKT,7/4/2014,SHB-CN Nghệ An,,50.968.107.000,Đầu tư xây dựng cơ bản cao su,,,,,,50968107000.0,
4,4,4,Công ty TNHH MTV Cao su Quảng Nam,2473/CTBL-TCKT,29/8/2013,SHB,,78.000.000.000,Đầu tư xây dựng cơ bản cao su,,,,,,78000000000.0,
5,5,5,Công ty TNHH MTV Cao su Quảng Nam,2720/CTBL-TCKT,23/9/2013,SHB,,88.546.900.000,Đầu tư xây dựng cơ bản cao su (trả nợ cho RFC),,,,,,88546900000.0,
6,6,6,Công ty TNHH MTV Cao su Bà Rịa,1216/CSVN-TCKT,24/11/2010,NNPTNT Châu Đức,,50.000.000.000,"Đầu tư 1.269,93 ha cao su",,,,,,50000000000.0,
7,7,7,Công ty TNHH MTV Cao su Bà Rịa,2773/CSVN-TCKT,28/11/2011,Agribank-Châu Đức,,72.000.000.000,Chăm sóc cao su KTCB 2011,,,,,,72000000000.0,
8,8,8,Công ty Cổ phần VRG Phú Yên,1865/CSVN-TCKT,04/07/2013,Vietinbank - Phú Yên,,191.733.798.000,Thùy điện La Hiêng 2,,,,,,191733798000.0,
9,9,9,Công ty Cổ phần VRG Phú Yên,1593/CTBL-CSVN,06/04/2014,Vietinbank - Phú Yên,,100.854.000.000,Trả nợ cho RFC,,,,,,100854000000.0,
10,10,10,Công ty TNHH MTV Cao su Đầu Tiếng,148/CSVN-TCKT,27/07/2010,ACB-BD,,41.403.570.000,Vay DH đầu tư TSCĐ 2006,,,,,,41403570000.0,
11,11,11,Công ty Cổ phần Cao su Mang Yang Rattanakiri,56/CSVN-TCKT,8/1/2013,SHB-TP.HCM,"3.562.500,00",,Đầu tư xây dựng cơ bản cao su,,,,,3562500.0,,
12,12,12,Công ty Cổ phần Cao su Đồng Nai - Kratie,496/CSVN-TCKT,10/03/2011,SHB-DN,,91.280.000.000,Đầu tư 4.100ha cao su tại CPC,,,,,,91280000000.0,
13,13,13,Công ty Cổ phần Cao su Đồng Nai - Kratie,1346/CSVN-TCKT,21/5/2013,SHB-HCM,"1.875.000,00",,Đầu tư xây dựng cơ bản cao su,,,,,1875000.0,,
14,14,14,Công ty TNHH MTV Cao su Thanh Hóa,1311/CSVN-TCKT,11/06/2012,SHB-TH,,14.000.000.000,Bổ sung vốn lưu động,,,,,,14000000000.0,
15,15,15,Công ty TNHH MTV Cao su Thanh Hóa,3306/CTBL-CSVN,20/11/2013,SHB,,68.540.493.000,Đầu tư chăm sóc cao su KTCB + trả nợ cho RFC,,,,,,68540493000.0,
16,16,16,Công ty TNHH MTV Cao su Nam Giang QN,2797/CSVN-TCKT,2/10/2013,NH Xăng Dầu Petrolimex,,93.135.000.000,Đầu tư chăm sóc cao su KTCB + trả nợ cho RFC,,,,,,93135000000.0,
17,17,17,Công ty Cổ phần Cao su Sa Thầy,2142/CSVN-TCKT,21/09/2011,Vietinbank,,209.727.120.000,Thực hiện dự án 5400ha cao su,,,,,,209727120000.0,
18,18,18,Tổng Công ty Cao su Đồng Nai,420/CSVN-TCKT,20/2/2013,VCB-ĐN,,120.000.000.000,Đầu tư xây dựng cơ bản cao su,,,,,,120000000000.0,
19,19,19,Công ty Cổ phần Cao su Điện Biên,3547/CTBL-TCKT,9/12/2013,SHB,,28.727.400.000,Đầu tư xây dựng cơ bản cao su,,,,,,28727400000.0,
