row_label_raw,row_label_full,17.1. Phải trả người bán ngắn hạn,31/12/2018,01/06/2018,numeric__31/12/2018,numeric__01/06/2018
Phải trả người bán về hàng hóa nội địa,Phải trả người bán về hàng hóa nội địa,Phải trả người bán về hàng hóa nội địa,560.525.444.703,535.108.415.452,560525444703.0,535108415452.0
Phải trả người bán về hàng hóa nhập khẩu,Phải trả người bán về hàng hóa nhập khẩu,Phải trả người bán về hàng hóa nhập khẩu,17.621.800.533,55.189.081.538,17621800533.0,55189081538.0
"Phải trả người bán về thi công, xây lắp công trình xây dựng","Phải trả người bán về thi công, xây lắp công trình xây dựng","Phải trả người bán về thi công, xây lắp công trình xây dựng",217.682.258.524,42.248.858.564,217682258524.0,42248858564.0
Phải trả người bán về dịch vụ nội địa được cung cấp,Phải trả người bán về dịch vụ nội địa được cung cấp,Phải trả người bán về dịch vụ nội địa được cung cấp,88.351.381.050,23.400.918.876,88351381050.0,23400918876.0
"Phải trả người bán về dịch vụ nhập khẩu, chuyển giao công nghệ","Phải trả người bán về dịch vụ nhập khẩu, chuyển giao công nghệ","Phải trả người bán về dịch vụ nhập khẩu, chuyển giao công nghệ",10.951.385.348,2.140.777.986,10951385348.0,2140777986.0
Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,177.351.335.174,215.961.653.247,177351335174.0,215961653247.0
Cộng,Cộng,Cộng,1.072.483.605.332,874.049.705.663,1072483605332.0,874049705663.0
17. 2. Phải trả người bán dài hạn,17. 2. Phải trả người bán dài hạn,17. 2. Phải trả người bán dài hạn,31/12/2018,01/06/2018,,
Phải trả người bán về hàng hóa nội địa,17. 2. Phải trả người bán dài hạn > Phải trả người bán về hàng hóa nội địa,Phải trả người bán về hàng hóa nội địa,0,153.360.822,0.0,153360822.0
"Phải trả người bán về thi công, xây lắp công trình xây dựng","17. 2. Phải trả người bán dài hạn > Phải trả người bán về thi công, xây lắp công trình xây dựng","Phải trả người bán về thi công, xây lắp công trình xây dựng",117.522.000,0,117522000.0,0.0
Phải trả người bán khác,17. 2. Phải trả người bán dài hạn > Phải trả người bán khác,Phải trả người bán khác,1.969.073.011,1.929.614.292,1969073011.0,1929614292.0
Cộng,17. 2. Phải trả người bán dài hạn > Cộng,Cộng,2.086.595.011,2.082.975.114,2086595011.0,2082975114.0
