row_label_raw,row_label_full,Tại ngày đầu năm,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Tổng cộng,numeric__Từ 01 năm trở xuống,numeric__Trên 01 năm đến 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
Tiền và tương đương tiền,Tiền và tương đương tiền,Tiền và tương đương tiền,4.519.257.499.380,0,0,4.519.257.499.380,4519257499380.0,0.0,0.0,4519257499380.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",2.882.150.116.079,379.116.415.084,0,3.261.266.531.163,2882150116079.0,379116415084.0,0.0,3261266531163.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,2.453.276.232,1.074.122.518.635,0,1.076.575.794.867,2453276232.0,1074122518635.0,0.0,1076575794867.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,5.523.975.816.386,0,0,5.523.975.816.386,5523975816386.0,0.0,0.0,5523975816386.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,0,467.254.412.123,2.687.406.722.474,3.154.661.134.597,0.0,467254412123.0,2687406722474.0,3154661134597.0
Cộng,Cộng,Cộng,12.927.836.708.077,1.920.493.345.842,2.687.406.722.474,17.535.736.776.393,12927836708077.0,1920493345842.0,2687406722474.0,17535736776393.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Tổng cộng,,,,
Tiền và tương đương tiền,Tại ngày cuối năm > Tiền và tương đương tiền,Tiền và tương đương tiền,5.159.740.351.097,0,0,5.159.740.351.097,5159740351097.0,0.0,0.0,5159740351097.0
"Phải thu khách hàng, phải thu khác","Tại ngày cuối năm > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",3.645.381.483.760,355.271.431.905,0,4.000.652.915.665,3645381483760.0,355271431905.0,0.0,4000652915665.0
Các khoản cho vay,Tại ngày cuối năm > Các khoản cho vay,Các khoản cho vay,12.793.119.133,1.023.717.354.258,0,1.036.510.473.391,12793119133.0,1023717354258.0,0.0,1036510473391.0
Đầu tư ngắn hạn,Tại ngày cuối năm > Đầu tư ngắn hạn,Đầu tư ngắn hạn,5.482.592.748.498,0,0,5.482.592.748.498,5482592748498.0,0.0,0.0,5482592748498.0
Đầu tư dài hạn,Tại ngày cuối năm > Đầu tư dài hạn,Đầu tư dài hạn,0,849.269.753.646,2.778.891.713.362,3.628.161.467.008,0.0,849269753646.0,2778891713362.0,3628161467008.0
Cộng,Tại ngày cuối năm > Cộng,Cộng,14.300.507.702.488,2.228.258.539.809,2.778.891.713.362,19.307.657.955.659,14300507702488.0,2228258539809.0,2778891713362.0,19307657955659.0
