row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,122.418.152.024,247.990.000,47.335.326.825,8.614.361.125,178.615.829.974,122418152024.0,247990000.0,47335326825.0,8614361125.0,178615829974.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,,,2.270.540.000,2.517.150.519,4.787.690.519,,,2270540000.0,2517150519.0,4787690519.0
- Tăng do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,511.267.520,,442.640.798,,953.908.318,511267520.0,,442640798.0,,953908318.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,,,(3.998.719.894),,(3.998.719.894),,,-3998719894.0,,-3998719894.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,122.929.419.544,247.990.000,46.049.787.729,11.131.511.644,180.358.708.917,122929419544.0,247990000.0,46049787729.0,11131511644.0,180358708917.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.202.113.188,153.485.357,31.624.250.215,6.129.892.359,54.109.741.119,16202113188.0,153485357.0,31624250215.0,6129892359.0,54109741119.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.264.089.828,22.817.219,3.172.701.656,118.903.299,4.578.512.002,1264089828.0,22817219.0,3172701656.0,118903299.0,4578512002.0
- Tăng do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,91.241.745,,1.455.653.036,,1.546.894.781,91241745.0,,1455653036.0,,1546894781.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,,,(3.998.719.894),,(3.998.719.894),,,-3998719894.0,,-3998719894.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,17.557.444.761,176.302.576,32.253.885.013,6.248.795.658,56.236.428.008,17557444761.0,176302576.0,32253885013.0,6248795658.0,56236428008.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,106.216.038.836,94.504.643,15.711.076.610,2.484.468.766,124.506.088.855,106216038836.0,94504643.0,15711076610.0,2484468766.0,124506088855.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,105.371.974.783,71.687.424,13.795.902.716,4.882.715.986,124.122.280.909,105371974783.0,71687424.0,13795902716.0,4882715986.0,124122280909.0
