row_label_raw,row_label_full,col_0,01/01/2024,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vi tính: VND,numeric__01/01/2024,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vi tính: VND
a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,777.462.738,52.853.811.881,53.022.619.171,608.655.448,777462738.0,52853811881.0,53022619171.0,608655448.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,465.953.139,7.034.169.828,7.127.228.401,372.894.566,465953139.0,7034169828.0,7127228401.0,372894566.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,281.799.479,2.101.887.738,2.274.428.012,109.259.205,281799479.0,2101887738.0,2274428012.0,109259205.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,25.897.120,561.533.600,546.501.560,40.929.160,25897120.0,561533600.0,546501560.0,40929160.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,3.813.000,226.462.015,223.333.015,6.942.000,3813000.0,226462015.0,223333015.0,6942000.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,42.597.258.884,42.518.628.367,78.630.517,,42597258884.0,42518628367.0,78630517.0
Thuế đất Phi Nông nghiệp,Thuế đất Phi Nông nghiệp,Thuế đất Phi Nông nghiệp,-,332.499.816,332.499.816,-,,332499816.0,332499816.0,
,,,01/01/2024,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2024,,,,
b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,3.946.736.855,166.920.399,124.166.777,3.903.983.233,3946736855.0,166920399.0,124166777.0,3903983233.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,-,148.148,148.148,,,148148.0,148148.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.656.772.447,-,-,3.656.772.447,3656772447.0,,,3656772447.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,49.574.572,151.219.382,121.910.469,20.265.659,49574572.0,151219382.0,121910469.0,20265659.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",240.327.684,13.592.857,-,226.734.827,240327684.0,13592857.0,,226734827.0
Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,62.152,2.108.160,2.108.160,62.152,62152.0,2108160.0,2108160.0,62152.0
