row_label_raw,row_label_full,col_0,31/12/2024 (VND),31/12/2024 (VND)_1,01/01/2024 (VND),01/01/2024 (VND)_1,numeric__31/12/2024 (VND),numeric__31/12/2024 (VND)_1,numeric__01/01/2024 (VND),numeric__01/01/2024 (VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,782.756.672,-,19.063.664.894,-,782756672.0,,19063664894.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",213.307.174.356,(1.860.084.340),227.661.687.205,(7.784.517.275),213307174356.0,-1860084340.0,227661687205.0,-7784517275.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",9.234.869.201,-,7.193.993.533,-,9234869201.0,,7193993533.0,
Chi phí SX KDDD,Chi phí SX KDDD,Chi phí SX KDDD,1.886.428.658,-,4.516.196.463,-,1886428658.0,,4516196463.0,
Thành phẩm,Thành phẩm,Thành phẩm,441.568.411.390,(7.952.662.851),198.841.069.216,(712.123.127),441568411390.0,-7952662851.0,198841069216.0,-712123127.0
Hàng hóa,Hàng hóa,Hàng hóa,109.153.665.693,(349.595.355),109.910.079.207,(582.620.104),109153665693.0,-349595355.0,109910079207.0,-582620104.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,31.218.802.824,-,4.981.830.450,-,31218802824.0,,4981830450.0,
Hàng hóa bất động sản (*),Hàng hóa bất động sản (*),Hàng hóa bất động sản (*),46.272.823.236,-,46.272.823.236,-,46272823236.0,,46272823236.0,
Tổng,Tổng,Tổng,853.424.932.030,(10.162.342.546),618.441.344.204,(9.079.260.506),853424932030.0,-10162342546.0,618441344204.0,-9079260506.0
