row_label_raw,row_label_full,Đơn vị phụ thuộc,Địa chỉ,numeric__Địa chỉ
Công ty Lương thực Bến Tre,Công ty Lương thực Bến Tre,Công ty Lương thực Bến Tre,"199 D2, Khu phố 4, Phường 7, Tp. Bến Tre, tỉnh Bến Tre",
Công ty Lương thực Sóc Trăng,Công ty Lương thực Sóc Trăng,Công ty Lương thực Sóc Trăng,"Số 76 Lê Duẩn, khóm 1, phường 3, TP. Sóc Trăng, tỉnh Sóc Trăng",
Công ty Lương thực Thực Phẩm An Giang,Công ty Lương thực Thực Phẩm An Giang,Công ty Lương thực Thực Phẩm An Giang,"6 Nguyễn Du, Tp. Long Xuyên, An Giang",
Công ty Lương thực Trà Vinh,Công ty Lương thực Trà Vinh,Công ty Lương thực Trà Vinh,"102 Trần Phú, Tp. Trà Vinh, tỉnh Trà Vinh",
Công ty Lương thực Đồng tháp,Công ty Lương thực Đồng tháp,Công ty Lương thực Đồng tháp,"531 Quốc lộ 30, xã Mỹ Tân, Tp. Cao Lãnh, tỉnh Đồng Tháp",
Chi nhánh Tổng Công ty Lương thực Miền Nam – Công ty cổ phần - Công ty Bột mì Bình Đông,Chi nhánh Tổng Công ty Lương thực Miền Nam – Công ty cổ phần - Công ty Bột mì Bình Đông,Chi nhánh Tổng Công ty Lương thực Miền Nam – Công ty cổ phần - Công ty Bột mì Bình Đông,"277A Bến Bình Đông, Quận 8, Tp. HCM",
Công ty Lương thực Sông Hậu,Công ty Lương thực Sông Hậu,Công ty Lương thực Sông Hậu,"Lô 18, Khu Công nghiệp Trà Nóc I, phường Trà Nóc, quận Bình Thủy, TP. Cần Thơ",
Công ty Nông sản Thực phẩm Trà Vinh,Công ty Nông sản Thực phẩm Trà Vinh,Công ty Nông sản Thực phẩm Trà Vinh,"Âp Vĩnh Yên, xã Long Đức, Tp. Trà Vinh, tỉnh Trà Vinh",
Công ty Lương thực Long An,Công ty Lương thực Long An,Công ty Lương thực Long An,"10 Cử Luyện, Phường 5, Tp. Tân An, Long An",
Công ty Lương thực Bạc Liêu,Công ty Lương thực Bạc Liêu,Công ty Lương thực Bạc Liêu,"166, đường Võ Thị Sáu, phường 8, Tp. Bạc Liêu, tỉnh Bạc Liêu",
Công ty Lương thực Vĩnh Long,Công ty Lương thực Vĩnh Long,Công ty Lương thực Vĩnh Long,"09 Tỉnh lộ 901, Âp Hồi Thạnh, xã Xuân Hiệp, H. Trà Ôn, Vĩnh Long",
Công ty Nông sản Thực Phẩm Tiền Giang,Công ty Nông sản Thực Phẩm Tiền Giang,Công ty Nông sản Thực Phẩm Tiền Giang,"Âp Bình Hòa, xã Hòa Hưng, huyện Cái Bè, Tiền Giang",
Công ty Lương thực Tiền Giang,Công ty Lương thực Tiền Giang,Công ty Lương thực Tiền Giang,"256 KP2, Phường 10, Tp. Mỹ Tho, Tiền Giang",
Tổng Công ty Lương thực miền Nam - Công ty Cổ phần - Chi nhánh Thốt Nốt,Tổng Công ty Lương thực miền Nam - Công ty Cổ phần - Chi nhánh Thốt Nốt,Tổng Công ty Lương thực miền Nam - Công ty Cổ phần - Chi nhánh Thốt Nốt,"Khu vực Thới Hòa 1, Phường Thới thuận, Quận Thốt Nốt, Tp. Cần Thơ",
