row_label_raw,row_label_full,col_0,Năm 2024VND,Năm 2023VND,numeric__Năm 2024VND,numeric__Năm 2023VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
Doanh thu bán hàng,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu bán hàng,Doanh thu bán hàng,11.165.382.262.442,12.409.014.272.921,11165382262442.0,12409014272921.0
Doanh thu cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,136.407.480.303,116.728.092.712,136407480303.0,116728092712.0
Doanh thu khác,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu khác,Doanh thu khác,7.841.338.576,15.925.867.225,7841338576.0,15925867225.0
Tổng,Doanh thu bán hàng và cung cấp dịch vụ > Tổng,Tổng,11.309.631.081.321,12.541.668.232.858,11309631081321.0,12541668232858.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,6.418.692.250,-,6418692250.0,
Giảm giá hàng bán,Các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,22.755.556,190.894.296,22755556.0,190894296.0
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,2.516.538.050,4.626.467.150,2516538050.0,4626467150.0
Tổng,Các khoản giảm trừ doanh thu > Tổng,Tổng,8.957.985.856,4.817.361.446,8957985856.0,4817361446.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,,
Doanh thu bán hàng,Doanh thu thuần bán hàng và cung cấp dịch vụ > Doanh thu bán hàng,Doanh thu bán hàng,11.156.424.276.586,12.404.196.911.475,11156424276586.0,12404196911475.0
Doanh thu cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,136.407.480.303,116.728.092.712,136407480303.0,116728092712.0
Doanh thu khác,Doanh thu thuần bán hàng và cung cấp dịch vụ > Doanh thu khác,Doanh thu khác,7.841.338.576,15.925.867.225,7841338576.0,15925867225.0
Tổng,Doanh thu thuần bán hàng và cung cấp dịch vụ > Tổng,Tổng,11.300.673.095.465,12.536.850.871.412,11300673095465.0,12536850871412.0
Trong đó: Doanh thu với các bên liên quan trình bày tại Thuyết minh 7.1,Doanh thu thuần bán hàng và cung cấp dịch vụ > Trong đó: Doanh thu với các bên liên quan trình bày tại Thuyết minh 7.1,Trong đó: Doanh thu với các bên liên quan trình bày tại Thuyết minh 7.1,97.976.592.332,100.247.134.606,97976592332.0,100247134606.0
