row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,31/12/2024VND,01/01/2024VND,numeric__Mối quan hệ,numeric__31/12/2024VND,numeric__01/01/2024VND
Phải thu khác,Phải thu khác,Phải thu khác,,147.556.457.790,147.556.457.790,,147556457790.0,147556457790.0
Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty con,88.280.243.917,88.280.243.917,,88280243917.0,88280243917.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty con,27.689.374.920,27.689.374.920,,27689374920.0,27689374920.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,28.000.000.000,28.000.000.000,,28000000000.0,28000000000.0
Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty con,3.586.838.953,3.586.838.953,,3586838953.0,3586838953.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,2.886.978.800,3.472.859.629,,2886978800.0,3472859629.0
Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty con,1.577.400.804,907.549.272,,1577400804.0,907549272.0
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty con,1.309.577.996,2.445.762.557,,1309577996.0,2445762557.0
Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty liên kết,-,119.547.800,,,119547800.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
