row_label_raw,row_label_full,a. Vay,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
Ngân hàng thương mại cổ phần Tiên Phong - Hội Sở (6),Ngân hàng thương mại cổ phần Tiên Phong - Hội Sở (6),Ngân hàng thương mại cổ phần Tiên Phong - Hội Sở (6),,,,,-,-,,,,,,
- VND,Ngân hàng thương mại cổ phần Tiên Phong - Hội Sở (6) > - VND,- VND,-,-,289.217.018.372,297.274.104.172,8.057.085.800,8.057.085.800,,,289217018372.0,297274104172.0,8057085800.0,8057085800.0
- USD,Ngân hàng thương mại cổ phần Tiên Phong - Hội Sở (6) > - USD,- USD,-,-,42.293.262.000,42.293.262.000,-,-,,,42293262000.0,42293262000.0,,
Ngân hàng TMCP Sài Gòn - Hà Nội (7),Ngân hàng TMCP Sài Gòn - Hà Nội (7),Ngân hàng TMCP Sài Gòn - Hà Nội (7),-,-,,,-,-,,,,,,
- VND,Ngân hàng TMCP Sài Gòn - Hà Nội (7) > - VND,- VND,-,-,120.000.000.000,120.000.000.000,-,-,,,120000000000.0,120000000000.0,,
- USD,Ngân hàng TMCP Sài Gòn - Hà Nội (7) > - USD,- USD,16.005.861.828,16.005.861.828,106.611.662.868,90.605.801.040,-,-,16005861828.0,16005861828.0,106611662868.0,90605801040.0,,
Ngân hàng TNHH MTV Public Việt Nam (VND) (8),Ngân hàng TMCP Sài Gòn - Hà Nội (7) > Ngân hàng TNHH MTV Public Việt Nam (VND) (8),Ngân hàng TNHH MTV Public Việt Nam (VND) (8),40.440.800.000,40.440.800.000,172.264.900.000,192.992.950.000,61.168.850.000,61.168.850.000,40440800000.0,40440800000.0,172264900000.0,192992950000.0,61168850000.0,61168850000.0
Ngân hàng TMCP Đông Nam Á (9),Ngân hàng TMCP Đông Nam Á (9),Ngân hàng TMCP Đông Nam Á (9),,,,,,,,,,,,
- VND,- VND,- VND,-,-,-,-,-,-,,,,,,
- USD,- VND > - USD,- USD,16.240.471.110,16.240.471.110,16.240.471.110,-,-,-,16240471110.0,16240471110.0,16240471110.0,,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,,,,,,,,,,,,
Quỹ Phát triển Khoa Học và Công Nghệ tính Tiền Giang (10),Nợ dài hạn đến hạn trả > Quỹ Phát triển Khoa Học và Công Nghệ tính Tiền Giang (10),Quỹ Phát triển Khoa Học và Công Nghệ tính Tiền Giang (10),860.000.000,860.000.000,860.000.000,860.000.000,860.000.000,860.000.000,860000000.0,860000000.0,860000000.0,860000000.0,860000000.0,860000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (11),Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (11),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (11),909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0
Vay dài hạn,Nợ dài hạn đến hạn trả > Vay dài hạn,Vay dài hạn,909.900.000,909.900.000,-,1.769.900.000,2.679.800.000,2.679.800.000,909900000.0,909900000.0,,1769900000.0,2679800000.0,2679800000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (11),Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (11),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (11),909.900.000,909.900.000,-,909.900.000,1.819.800.000,1.819.800.000,909900000.0,909900000.0,,909900000.0,1819800000.0,1819800000.0
Quỹ Phát triển Khoa học và Công nghệ Tĩnh Tiền Giang (10),Nợ dài hạn đến hạn trả > Quỹ Phát triển Khoa học và Công nghệ Tĩnh Tiền Giang (10),Quỹ Phát triển Khoa học và Công nghệ Tĩnh Tiền Giang (10),-,-,-,860.000.000,860.000.000,860.000.000,,,,860000000.0,860000000.0,860000000.0
Tổng,Nợ dài hạn đến hạn trả > Tổng,Tổng,917.225.596.939,917.225.596.939,8.478.774.345.673,8.374.340.371.547,812.791.622.813,812.791.622.813,917225596939.0,917225596939.0,8478774345673.0,8374340371547.0,812791622813.0,812791622813.0
