row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântài, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântài, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCDhữu hình khác,numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2024,NGUYÊN GIÁ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,2.426.875.231.546,1.662.345.313.308,136.617.358.360,41.614.988.472,11.000.561.017,4.278.453.452.703,2426875231546.0,1662345313308.0,136617358360.0,41614988472.0,11000561017.0,4278453452703.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,7.418.630.787,12.780.106.707,871.310.297,727.513.773,366.018.518,22.163.580.082,7418630787.0,12780106707.0,871310297.0,727513773.0,366018518.0,22163580082.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,3.872.595.260,366.261.852,363.614.773,366.018.518,4.968.490.403,,3872595260.0,366261852.0,363614773.0,366018518.0,4968490403.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,7.418.630.787,8.907.511.447,505.048.445,363.899.000,-,17.195.089.679,7418630787.0,8907511447.0,505048445.0,363899000.0,,17195089679.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,1.730.540.267,-,-,-,-,1.730.540.267,1730540267.0,,,,,1730540267.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.730.540.267,-,-,-,-,1.730.540.267,1730540267.0,,,,,1730540267.0
Số dư tại 31/12/2024,NGUYÊN GIÁ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,2.432.563.322.066,1.675.125.420.015,137.488.668.657,42.342.502.245,11.366.579.535,4.298.886.492.518,2432563322066.0,1675125420015.0,137488668657.0,42342502245.0,11366579535.0,4298886492518.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,1.400.139.373.253,1.261.441.232.269,127.152.131.413,37.626.151.793,7.841.753.888,2.834.200.642.616,1400139373253.0,1261441232269.0,127152131413.0,37626151793.0,7841753888.0,2834200642616.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,48.353.148.187,42.789.558.966,3.299.525.765,894.822.038,197.260.122,95.534.315.078,48353148187.0,42789558966.0,3299525765.0,894822038.0,197260122.0,95534315078.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,48.353.148.187,42.789.558.966,3.299.525.765,894.822.038,197.260.122,95.534.315.078,48353148187.0,42789558966.0,3299525765.0,894822038.0,197260122.0,95534315078.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,1.071.408.698,-,-,-,-,1.071.408.698,1071408698.0,,,,,1071408698.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.071.408.698,-,-,-,-,1.071.408.698,1071408698.0,,,,,1071408698.0
Số dư tại 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,1.447.421.112.742,1.304.230.791.235,130.451.657.178,38.520.973.831,8.039.014.010,2.928.663.548.996,1447421112742.0,1304230791235.0,130451657178.0,38520973831.0,8039014010.0,2928663548996.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại 01/01/2024,Tại 01/01/2024,1.026.735.858.293,400.904.081.039,9.465.226.947,3.988.836.679,3.158.807.129,1.444.252.810.087,1026735858293.0,400904081039.0,9465226947.0,3988836679.0,3158807129.0,1444252810087.0
Tại 31/12/2024,GIÁ TRỊ CÒN LẠI > Tại 31/12/2024,Tại 31/12/2024,985.142.209.324,370.894.628.780,7.037.011.479,3.821.528.414,3.327.565.525,1.370.222.943.522,985142209324.0,370894628780.0,7037011479.0,3821528414.0,3327565525.0,1370222943522.0
