row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2024VND,Năm 2023VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2024VND,numeric__Năm 2023VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,
1.,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1.,1.,Lợi nhuận trước thuế,01,,4.303.134.291,3.567.542.452,,1.0,,4303134291.0,3567542452.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,,,
,,,- Khấu hao tài sản cố định và BĐS đầu tư,02,,98.753.719.736,97.899.360.563,,2.0,,98753719736.0,97899360563.0
,,,- Các khoản dự phòng,03,,(12.242.931.968),2.748.584.715,,3.0,,-12242931968.0,2748584715.0
,,,"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,,13.651.844.847,(265.806.676),,4.0,,13651844847.0,-265806676.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,,(56.624.670.802),(49.839.123.140),,5.0,,-56624670802.0,-49839123140.0
,,,- Chi phí lãi vay,06,,119.163.707.303,114.239.624.645,,6.0,,119163707303.0,114239624645.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,167.004.803.407,168.350.182.559,,8.0,,167004803407.0,168350182559.0
,,,"- Tăng, giảm các khoản phải thu",09,,(72.973.118.410),1.485.389.968.819,,9.0,,-72973118410.0,1485389968819.0
,,,"- Tăng, giảm hàng tồn kho",10,,(234.983.587.826),115.564.767.865,,10.0,,-234983587826.0,115564767865.0
,,,"- Tăng, giảm các khoản phải trả",11,,24.324.146.699,(1.427.871.507.023),,11.0,,24324146699.0,-1427871507023.0
,,,"- Tăng, giảm chi phí trả trước",12,,339.874.744,(6.235.686.910),,12.0,,339874744.0,-6235686910.0
,,,- Tiền lãi vay đã trả,14,,(119.329.852.973),(114.740.199.629),,14.0,,-119329852973.0,-114740199629.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(235.617.734.359),220.457.525.681,,20.0,,-235617734359.0,220457525681.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(24.019.453.630),(46.695.679.964),,21.0,,-24019453630.0,-46695679964.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,243.843.940,3.896.500.989,,22.0,,243843940.0,3896500989.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,57.039.958.431,47.292.332.399,,27.0,,57039958431.0,47292332399.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,33.264.348.741,4.493.153.424,,30.0,,33264348741.0,4493153424.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,
3.,III. > 3.,3.,Tiền thu từ đi vay,33,,8.478.774.345.673,7.230.533.142.136,,33.0,,8478774345673.0,7230533142136.0
4.,III. > 4.,4.,Tiền chi trả nợ gốc vay,34,,(8.374.340.371.547),(8.113.803.195.746),,34.0,,-8374340371547.0,-8113803195746.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,104.433.974.126,(883.270.053.610),,40.0,,104433974126.0,-883270053610.0
,,,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,(97.919.411.492),(658.319.374.505),,50.0,,-97919411492.0,-658319374505.0
,,,Tiền và tương đương tiền đầu kỳ,60,,218.536.274.681,876.912.028.909,,60.0,,218536274681.0,876912028909.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,61.225.661,(56.379.723),,61.0,,61225661.0,-56379723.0
,,,Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,5.1,120.678.088.850,218.536.274.681,,70.0,51.0,120678088850.0,218536274681.0
