row_label_raw,row_label_full,col_0,31/12/2024 (VND) > Giá trị ghi số,31/12/2024 (VND) > Dự phòng,01/01/2024 (VND) > Giá trị ghi số,01/01/2024 (VND) > Dự phòng,numeric__31/12/2024 (VND) > Giá trị ghi số,numeric__31/12/2024 (VND) > Dự phòng,numeric__01/01/2024 (VND) > Giá trị ghi số,numeric__01/01/2024 (VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,219.311.727.868,(143.710.488.857),220.172.742.237,(143.745.993.672),219311727868.0,-143710488857.0,220172742237.0,-143745993672.0
Phải thu cổ phần hóa,Phải thu cổ phần hóa,Phải thu cổ phần hóa,4.544.857.219,-,4.544.857.219,-,4544857219.0,,4544857219.0,
Phải thu khác,Phải thu khác,Phải thu khác,212.384.885.872,(143.642.288.857),212.119.158.557,(143.677.793.672),212384885872.0,-143642288857.0,212119158557.0,-143677793672.0
Phải thu Công ty Cổ phần Tô Châu tiền vốn và lãi kinh doanh,Phải thu Công ty Cổ phần Tô Châu tiền vốn và lãi kinh doanh,Phải thu Công ty Cổ phần Tô Châu tiền vốn và lãi kinh doanh,88.280.243.917,(88.280.243.917),88.280.243.917,(88.280.243.917),88280243917.0,-88280243917.0,88280243917.0,-88280243917.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,27.689.374.920,-,27.689.374.920,-,27689374920.0,,27689374920.0,
Phải thu CP Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ báo lãnh,Phải thu CP Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ báo lãnh,Phải thu CP Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ báo lãnh,28.000.000.000,(28.000.000.000),28.000.000.000,(28.000.000.000),28000000000.0,-28000000000.0,28000000000.0,-28000000000.0
Phải thu Kho bạc Nhà nước Thành phố Hồ Chí Minh (*),Phải thu Kho bạc Nhà nước Thành phố Hồ Chí Minh (*),Phải thu Kho bạc Nhà nước Thành phố Hồ Chí Minh (*),27.877.394.336,-,27.877.394.336,-,27877394336.0,,27877394336.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,40.537.872.699,(27.362.044.940),40.272.145.384,(27.397.549.755),40537872699.0,-27362044940.0,40272145384.0,-27397549755.0
Tạm ứng,Tạm ứng,Tạm ứng,2.098.784.777,-,3.218.526.461,-,2098784777.0,,3218526461.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",283.200.000,(68.200.000),290.200.000,(68.200.000),283200000.0,-68200000.0,290200000.0,-68200000.0
Dài hạn,Dài hạn,Dài hạn,159.066.534,(45.500.000),159.066.534,(45.000.000),159066534.0,-45500000.0,159066534.0,-45000000.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,108.566.534,-,108.566.534,-,108566534.0,,108566534.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",50.500.000,(45.500.000),50.500.000,(45.000.000),50500000.0,-45500000.0,50500000.0,-45000000.0
Tổng,Tổng,Tổng,219.470.794.402,(143.755.988.857),220.331.808.771,(143.790.993.672),219470794402.0,-143755988857.0,220331808771.0,-143790993672.0
Trong đó phải thu các bên liên quan trình bày tại Thuyết minh 7.1,Trong đó phải thu các bên liên quan trình bày tại Thuyết minh 7.1,Trong đó phải thu các bên liên quan trình bày tại Thuyết minh 7.1,147.556.457.790,(143.755.988.857),147.556.457.790,(143.790.993.672),147556457790.0,-143755988857.0,147556457790.0,-143790993672.0
