row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,7.247.888.802.013,7.791.916.441.908,,300.0,7247888802013.0,7791916441908.0
I.,I.,I.,Nợ ngắn hạn,310,7.142.890.026.553,7.342.796.246.238,,310.0,7142890026553.0,7342796246238.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,2.586.116.937.843,1.987.870.340.312,,311.0,2586116937843.0,1987870340312.0
I.,I.,I.,2. Người mua trả tiền trước ngắn hạn,312,-,(102.540.879.931),,312.0,,-102540879931.0
I.,I.,I.,3. Thuế và các khoản phải nộp Nhà nước,313,7.982.055.474,9.454.840.093,,313.0,7982055474.0,9454840093.0
I.,I.,I.,4. Phải trả người lao động,314,517.878.918,371.877.557,,314.0,517878918.0,371877557.0
I.,I.,I.,5. Chi phí phải trả ngắn hạn,315,591.385.030.836,254.053.860.041,,315.0,591385030836.0,254053860041.0
I.,I.,I.,6. Phải trả nội bộ ngắn hạn,316,1.447.476.029.482,1.822.264.066.590,,316.0,1447476029482.0,1822264066590.0
I.,I.,I.,7. Doanh thu chưa thực hiện ngắn hạn,318,878.130.836.087,758.596.537.864,,318.0,878130836087.0,758596537864.0
I.,I.,I.,8. Phải trả ngắn hạn khác,319,417.562.402.171,387.233.526.396,,319.0,417562402171.0,387233526396.0
I.,I.,I.,9. Vay và nợ thuê tài chính ngắn hạn,320,1.103.126.785.160,2.094.181.289.625,,320.0,1103126785160.0,2094181289625.0
I.,I.,I.,"10. Quỹ khen thưởng, phúc lợi",322,110.592.070.582,131.310.787.691,,322.0,110592070582.0,131310787691.0
II.,II.,II.,Nợ dài hạn,330,104.998.775.460,449.120.195.670,,330.0,104998775460.0,449120195670.0
II.,II.,II.,1. Vay và nợ thuê tài chính dài hạn,338,104.998.775.460,449.120.195.670,,338.0,104998775460.0,449120195670.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,2.765.857.692.720,2.810.701.925.569,,400.0,2765857692720.0,2810701925569.0
I.,I.,I.,Vốn chủ sở hữu,410,2.765.857.692.720,2.810.701.925.569,,410.0,2765857692720.0,2810701925569.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,1.507.832.590.000,1.370.786.090.000,,411.0,1507832590000.0,1370786090000.0
I.,I.,I.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,1.507.832.590.000,1.370.786.090.000,,,1507832590000.0,1370786090000.0
I.,I.,I.,2. Cổ phiếu quỹ,415,(300.150.000),(300.150.000),,415.0,-300150000.0,-300150000.0
I.,I.,I.,3. Quỹ đầu tư phát triển,418,246.879.179.072,131.972.384.482,,418.0,246879179072.0,131972384482.0
I.,I.,I.,4. Lợi nhuận sau thuế chưa phân phối,421,1.011.446.073.648,1.308.243.601.087,,421.0,1011446073648.0,1308243601087.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,883.697.315.680,780.149.508.348,,,883697315680.0,780149508348.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,127.748.757.968,528.094.092.739,,,127748757968.0,528094092739.0
TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),440,10.013.746.494.733,10.602.618.367.477,,440.0,10013746494733.0,10602618367477.0
