row_label_raw,row_label_full,col_0,Năm nay(Số năm),Năm trước(Số năm),numeric__Năm nay(Số năm),numeric__Năm trước(Số năm)
Nhà xưởng và vật kiến trúc,Nhà xưởng và vật kiến trúc,Nhà xưởng và vật kiến trúc,25,25,25.0,25.0
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,3 - 15,3 - 10,,
Thiết bị quản lý,Thiết bị quản lý,Thiết bị quản lý,3 - 6,3 - 6,,
Phương tiện vận tải,Thiết bị quản lý > Phương tiện vận tải,Phương tiện vận tải,6,6,6.0,6.0
Tài sản cố định khác,Tài sản cố định khác,Tài sản cố định khác,3 - 5,3 - 5,,
