row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (trình bày lại),Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (trình bày lại),numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.246.198.090.000,(300.150.000),-,1.037.843.806.464,2.283.741.746.464,1246198090000.0,-300150000.0,,1037843806464.0,2283741746464.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,851.385.875.600,851.385.875.600,,,,851385875600.0,851385875600.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,131.972.384.482,(131.972.384.482),-,,,131972384482.0,-131972384482.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(87.981.589.655),(87.981.589.655),,,,-87981589655.0,-87981589655.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,124.588.000.000,-,,(124.588.000.000),-,124588000000.0,,,-124588000000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(386.228.182.000),(386.228.182.000),,,,-386228182000.0,-386228182000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(1.040.065.134),(1.040.065.134),,,,-1040065134.0,-1040065134.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.370.786.090.000,(300.150.000),131.972.384.482,1.157.419.460.793,2.659.877.785.275,1370786090000.0,-300150000.0,131972384482.0,1157419460793.0,2659877785275.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,771.519.814.285,771.519.814.285,,,,771519814285.0,771519814285.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(589.308.326.000),(589.308.326.000),,,,-589308326000.0,-589308326000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,137.046.500.000,-,-,(137.046.500.000),-,137046500000.0,,,-137046500000.0,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,114.906.794.590,(114.906.794.590),-,,,114906794590.0,-114906794590.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(76.604.529.727),(76.604.529.727),,,,-76604529727.0,-76604529727.0
Lợi nhuận thu được từ giải thể công ty con,Lợi nhuận thu được từ giải thể công ty con,Lợi nhuận thu được từ giải thể công ty con,-,-,-,4.768.876.599,4.768.876.599,,,,4768876599.0,4768876599.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(4.395.927.712),(4.395.927.712),,,,-4395927712.0,-4395927712.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.507.832.590.000,(300.150.000),246.879.179.072,1.011.446.073.648,2.765.857.692.720,1507832590000.0,-300150000.0,246879179072.0,1011446073648.0,2765857692720.0
