row_label_raw,row_label_full,col_0,Nhà xuống và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản khác,Tổng cộng,numeric__Nhà xuống và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,70.574.472.411,5.027.327.810.521,36.308.690.474,597.595.701.113,24.965.497.516,5.756.772.172.035,70574472411.0,5027327810521.0,36308690474.0,597595701113.0,24965497516.0,5756772172035.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,(9.264.112.130),1.268.287.907.902,(22.312.658.667),(318.787.782.647),(24.965.497.516),892.957.856.942,-9264112130.0,1268287907902.0,-22312658667.0,-318787782647.0,-24965497516.0,892957856942.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,-,829.038.773.104,2.106.209.091,58.321.132.217,-,889.466.114.412,,829038773104.0,2106209091.0,58321132217.0,,889466114412.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.945.094.057,-,-,-,2.945.094.057,,2945094057.0,,,,2945094057.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,-,-,546.648.473,-,546.648.473,,,,546648473.0,,546648473.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(9.264.112.130),436.304.040.741,(24.418.867.758),(377.655.563.337),(24.965.497.516),-,-9264112130.0,436304040741.0,-24418867758.0,-377655563337.0,-24965497516.0,
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,999.484.885.956,1.891.596.955,13.803.082.741,-,1.015.179.565.652,,999484885956.0,1891596955.0,13803082741.0,,1015179565652.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,1.891.596.955,-,-,1.891.596.955,,,1891596955.0,,,1891596955.0
Thu hồi nhập kho,NGUYÊN GIÁ > Thu hồi nhập kho,Thu hồi nhập kho,-,209.272.672.776,-,13.803.082.741,-,223.075.755.517,,209272672776.0,,13803082741.0,,223075755517.0
Giảm do chuyển đổi hạ tầng,NGUYÊN GIÁ > Giảm do chuyển đổi hạ tầng,Giảm do chuyển đổi hạ tầng,-,790.212.213.180,-,-,-,790.212.213.180,,790212213180.0,,,,790212213180.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,61.310.360.281,5.296.130.832.467,12.104.434.852,265.004.835.725,-,5.634.550.463.325,61310360281.0,5296130832467.0,12104434852.0,265004835725.0,,5634550463325.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
