row_label_raw,row_label_full,TÀI SẢN,Mã số,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,6.354.885.164.266,6.898.693.876.705,100.0,6354885164266.0,6898693876705.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,52.667.089.641,302.683.551.745,110.0,52667089641.0,302683551745.0
1. Tiền,1. Tiền,1. Tiền,111,48.013.226.807,57.835.942.458,111.0,48013226807.0,57835942458.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,4.653.862.834,244.847.609.287,112.0,4653862834.0,244847609287.0
II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,130,4.752.693.901.673,5.336.539.405.171,130.0,4752693901673.0,5336539405171.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,2.276.788.332.138,3.528.456.468.709,131.0,2276788332138.0,3528456468709.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,11.300.275.710,31.028.361.840,132.0,11300275710.0,31028361840.0
3. Phải thu nội bộ ngắn hạn,3. Phải thu nội bộ ngắn hạn,3. Phải thu nội bộ ngắn hạn,133,1.451.782.052.803,1.822.014.138.330,133.0,1451782052803.0,1822014138330.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,1.110.482.793.145,10.113.949.566,136.0,1110482793145.0,10113949566.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,(97.659.552.123),(55.073.513.274),137.0,-97659552123.0,-55073513274.0
III. Hàng tồn kho,III. Hàng tồn kho,III. Hàng tồn kho,140,781.071.626.360,626.091.515.821,140.0,781071626360.0,626091515821.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,781.071.626.360,626.091.515.821,141.0,781071626360.0,626091515821.0
IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,768.452.546.592,633.379.403.968,150.0,768452546592.0,633379403968.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,643.962.314.128,504.915.690.219,151.0,643962314128.0,504915690219.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,17.895.096.242,16.674.392.147,152.0,17895096242.0,16674392147.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,106.595.136.222,111.789.321.602,153.0,106595136222.0,111789321602.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,3.658.861.330.467,3.703.924.490.772,200.0,3658861330467.0,3703924490772.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,-,37.062.784,210.0,,37062784.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,-,37.062.784,216.0,,37062784.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,3.031.980.587.410,2.849.390.207.225,220.0,3031980587410.0,2849390207225.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,2.679.166.617.134,2.696.153.045.201,221.0,2679166617134.0,2696153045201.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,5.183.165.887.924,4.582.674.780.201,222.0,5183165887924.0,4582674780201.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(2.503.999.270.790),(1.886.521.735.000),223.0,-2503999270790.0,-1886521735000.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,352.813.970.276,153.237.162.024,227.0,352813970276.0,153237162024.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,509.949.249.729,273.145.605.335,228.0,509949249729.0,273145605335.0
