row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số năm nay,Số năm trước,numeric__Mã số,numeric__Số năm nay,numeric__Số năm trước
6. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 6. Tiền thu hồi đầu tư vốn vào đơn vị khác,6. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,(1.040.278.933),26.0,,-1040278933.0
"7. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 7. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","7. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,618.608.314.902,965.789.486.820,27.0,618608314902.0,965789486820.0
Lưu chuyển tiên thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiên thuần từ hoạt động đầu tư,Lưu chuyển tiên thuần từ hoạt động đầu tư,30,61.763.809.500,(84.290.457.282),30.0,61763809500.0,-84290457282.0
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,1.640.034.151.642,2.971.812.214.509,33.0,1640034151642.0,2971812214509.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(2.975.210.076.317),(2.533.833.444.776),34.0,-2975210076317.0,-2533833444776.0
"3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(424.377.982.300),(249.293.180.900),36.0,-424377982300.0,-249293180900.0
Lưu chuyển tiên thuần từ hoạt động tài chính,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiên thuần từ hoạt động tài chính,Lưu chuyển tiên thuần từ hoạt động tài chính,40,(1.759.553.906.975),188.685.588.833,40.0,-1759553906975.0,188685588833.0
Lưu chuyển tiên thuần trong năm (50=20+30+40),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiên thuần trong năm (50=20+30+40),Lưu chuyển tiên thuần trong năm (50=20+30+40),50,(250.016.462.104),262.401.014.220,50.0,-250016462104.0,262401014220.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,302.683.551.745,40.282.537.525,60.0,302683551745.0,40282537525.0
Tiền và tương đương tiền cuối năm (70=50+60),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),70,52.667.089.641,302.683.551.745,70.0,52667089641.0,302683551745.0
