row_label_raw,row_label_full,Chi tiêu,Số đầu năm > Giá trị VND,Số đầu năm > Số có khả năng trả nợ VND,Trong năm > Tăng VND,Trong năm > Giảm VND,Số cuối năm > Giá trị VND,Số cuối năm > Số có khả năng trả nợ VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Số có khả năng trả nợ VND,numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Số có khả năng trả nợ VND
Vay ngăn hạn (VND),Vay ngăn hạn (VND),Vay ngăn hạn (VND),1.888.658.352.866,1.888.658.352.866,1.640.034.151.642,2.495.564.902.990,1.033.127.601.518,1.033.127.601.518,1888658352866.0,1888658352866.0,1640034151642.0,2495564902990.0,1033127601518.0,1033127601518.0
Nợ dài hạn đến hạn trả(xem Thuyết minh số 16),Nợ dài hạn đến hạn trả(xem Thuyết minh số 16),Nợ dài hạn đến hạn trả(xem Thuyết minh số 16),205.522.936.759,205.522.936.759,344.121.420.210,479.645.173.327,69.999.183.642,69.999.183.642,205522936759.0,205522936759.0,344121420210.0,479645173327.0,69999183642.0,69999183642.0
Cộng,Cộng,Cộng,2.094.181.289.625,2.094.181.289.625,1.984.155.571.852,2.975.210.076.317,1.103.126.785.160,1.103.126.785.160,2094181289625.0,2094181289625.0,1984155571852.0,2975210076317.0,1103126785160.0,1103126785160.0
