row_label_raw,row_label_full,Chi tiêu,Số đầu năm(Trình bày lại),Trong năm > Số phải thu/nộp,Trong năm > Số đã thu/nộp hoặc bù trừ,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Trong năm > Số phải thu/nộp,numeric__Trong năm > Số đã thu/nộp hoặc bù trừ,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.378.431.350,490.062.815,5.378.431.350,490.062.815,5378431350.0,490062815.0,5378431350.0,490062815.0
- Thuế GTGT đầu ra,a) Các khoản phải thu > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,5.378.431.350,490.062.815,5.378.431.350,490.062.815,5378431350.0,490062815.0,5378431350.0,490062815.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,106.015.310.120,-,-,106.015.310.120,106015310120.0,,,106015310120.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,395.580.132,178.512.069,484.328.914,89.763.287,395580132.0,178512069.0,484328914.0,89763287.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,111.789.321.602,668.574.884,5.862.760.264,106.595.136.222,111789321602.0,668574884.0,5862760264.0,106595136222.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.203.814.016,389.175.377.725,393.421.902.631,12.957.289.110,17203814016.0,389175377725.0,393421902631.0,12957289110.0
- Thuế GTGT đầu ra,b) Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,17.203.814.016,288.268.891.716,292.515.416.622,12.957.289.110,17203814016.0,288268891716.0,292515416622.0,12957289110.0
- Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,100.906.486.009,100.906.486.009,-,,100906486009.0,100906486009.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,7.698.918.934,7.698.918.934,-,,7698918934.0,7698918934.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,172.555.548.353,127.720.231.058,272.278.702.870,27.997.076.541,172555548353.0,127720231058.0,272278702870.0,27997076541.0
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,1.185.769.814,30.121.853.298,28.111.945.372,3.195.677.740,1185769814.0,30121853298.0,28111945372.0,3195677740.0
- Thuế môn bài,b) Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,156.000.000,156.000.000,-,,156000000.0,156000000.0,
- Thuế thu nhập cá nhân,b) Các khoản phải trả > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,1.122.927.889,24.309.764.533,22.475.533.527,2.957.158.895,1122927889.0,24309764533.0,22475533527.0,2957158895.0
- Thuế khác,b) Các khoản phải trả > - Thuế khác,- Thuế khác,62.841.925,5.656.088.765,5.480.411.845,238.518.845,62841925.0,5656088765.0,5480411845.0,238518845.0
Cộng,b) Các khoản phải trả > Cộng,Cộng,190.945.132.183,554.716.381.015,701.511.469.807,44.150.043.391,190945132183.0,554716381015.0,701511469807.0,44150043391.0
