row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Đối tượng,Đối tượng,Đối tượng,VND,VND,VND,VND,,,,
"Phải thu, cho vay khó có khả năng thu hồi","Phải thu, cho vay khó có khả năng thu hồi","Phải thu, cho vay khó có khả năng thu hồi",,,,,,,,
Phải thu ngắn hạn của khách hàng,"Phải thu, cho vay khó có khả năng thu hồi > Phải thu ngắn hạn của khách hàng",Phải thu ngắn hạn của khách hàng,147.758.507.137,50.098.955.014,102.520.441.117,46.956.208.843,147758507137.0,50098955014.0,102520441117.0,46956208843.0
