row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Số năm nay,Số năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,20,6.142.464.421.439,5.369.609.025.050,1.0,20.0,6142464421439.0,5369609025050.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,20,11.432.772.118,22.014.892.660,2.0,20.0,11432772118.0,22014892660.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,6.131.031.649.321,5.347.594.132.390,10.0,,6131031649321.0,5347594132390.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,21,3.188.196.851.966,3.057.638.850.458,11.0,21.0,3188196851966.0,3057638850458.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.942.834.797.355,2.289.955.281.932,20.0,,2942834797355.0,2289955281932.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,23,248.274.885.213,365.203.815.209,21.0,23.0,248274885213.0,365203815209.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,24,120.974.286.749,155.958.231.308,22.0,24.0,120974286749.0,155958231308.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,118.843.999.299,150.786.913.155,23.0,,118843999299.0,150786913155.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,553.982.509.724,475.241.711.365,25.0,,553982509724.0,475241711365.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,,1.567.280.585.990,1.061.606.610.133,26.0,,1567280585990.0,1061606610133.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,948.872.300.105,962.352.544.335,30.0,,948872300105.0,962352544335.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,3.452.109.901,2.573.727.168,31.0,,3452109901.0,2573727168.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,29.038.586.482,3.978.987.496,32.0,,29038586482.0,3978987496.0
13. (Lỗ) từ hoạt động khác (40=31-32),13. (Lỗ) từ hoạt động khác (40=31-32),13. (Lỗ) từ hoạt động khác (40=31-32),40,,(25.586.476.581),(1.405.260.328),40.0,,-25586476581.0,-1405260328.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,923.285.823.524,960.947.284.007,50.0,,923285823524.0,960947284007.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,25,127.627.839.910,102.519.131.613,51.0,25.0,127627839910.0,102519131613.0
16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,25,24.138.169.329,7.042.276.794,52.0,25.0,24138169329.0,7042276794.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,771.519.814.285,851.385.875.600,60.0,,771519814285.0,851385875600.0
