row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,3.190.940.813.921,3.863.679.617.579,,100.0,,3190940813921.0,3863679617579.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,59.979.172.247,313.025.494.504,,110.0,4.0,59979172247.0,313025494504.0
I.,I.,I.,1. Tiền,111,,55.325.309.413,68.177.885.217,,111.0,,55325309413.0,68177885217.0
I.,I.,I.,2. Các khoản tương đương tiền,112,,4.653.862.834,244.847.609.287,,112.0,,4653862834.0,244847609287.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,-,1.593.039.336.332,,120.0,5.0,,1593039336332.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,-,1.593.039.336.332,,123.0,,,1593039336332.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.872.978.439.888,954.040.327.025,,130.0,,1872978439888.0,954040327025.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,,852.048.093.269,937.009.031.589,,131.0,,852048093269.0,937009031589.0
III.,III.,III.,2. Trả trước cho người bán ngắn hạn,132,,11.394.859.912,31.123.078.317,,132.0,,11394859912.0,31123078317.0
III.,III.,III.,3. Phải thu ngắn hạn khác,136,,1.107.195.038.830,41.472.449.393,,136.0,,1107195038830.0,41472449393.0
III.,III.,III.,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(97.659.552.123),(55.564.232.274),,137.0,,-97659552123.0,-55564232274.0
IV.,IV.,IV.,Hàng tồn kho,140,7,489.540.611.081,369.982.688.440,,140.0,7.0,489540611081.0,369982688440.0
IV.,IV.,IV.,1. Hàng tồn kho,141,,489.540.611.081,369.982.688.440,,141.0,,489540611081.0,369982688440.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,768.442.590.705,633.591.771.278,,150.0,,768442590705.0,633591771278.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,8,643.952.358.241,505.128.057.529,,151.0,8.0,643952358241.0,505128057529.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,17.895.096.242,16.674.392.147,,152.0,,17895096242.0,16674392147.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,9,106.595.136.222,111.789.321.602,,153.0,9.0,106595136222.0,111789321602.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,3.973.266.841.238,3.980.768.394.316,,200.0,,3973266841238.0,3980768394316.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,3.310.171.784,37.062.784,,210.0,,3310171784.0,37062784.0
I.,I.,I.,1. Phải thu dài hạn khác,216,,3.310.171.784,37.062.784,,216.0,,3310171784.0,37062784.0
II.,II.,II.,Tài sản cố định,220,,3.323.050.682.963,3.105.790.318.731,,220.0,,3323050682963.0,3105790318731.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,10,2.970.236.712.687,2.952.553.156.707,,221.0,10.0,2970236712687.0,2952553156707.0
II.,II.,II.,- Nguyên giá,222,,5.634.550.463.325,5.756.772.172.035,,222.0,,5634550463325.0,5756772172035.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,,(2.664.313.750.638),(2.804.219.015.328),,223.0,,-2664313750638.0,-2804219015328.0
II.,II.,II.,2. Tài sản cố định vô hình,227,11,352.813.970.276,153.237.162.024,,227.0,11.0,352813970276.0,153237162024.0
II.,II.,II.,- Nguyên giá,228,,510.039.769.058,273.236.124.664,,228.0,,510039769058.0,273236124664.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,,(157.225.798.782),(119.998.962.640),,229.0,,-157225798782.0,-119998962640.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,17.129.232.145,214.146.967.623,,240.0,,17129232145.0,214146967623.0
III.,III.,III.,1. Chi phí xây dựng cơ bản dở dang,242,12,17.129.232.145,214.146.967.623,,242.0,12.0,17129232145.0,214146967623.0
IV.,IV.,IV.,Các khoản đầu tư tài chính dài hạn,250,5,261.815.986.544,256.306.987.671,,250.0,5.0,261815986544.0,256306987671.0
IV.,IV.,IV.,1. Đầu tư vào công ty con,251,,258.226.317.955,263.457.441.356,,251.0,,258226317955.0,263457441356.0
IV.,IV.,IV.,2. Đầu tư góp vốn vào đơn vị khác,253,,6.000.000.000,6.000.000.000,,253.0,,6000000000.0,6000000000.0
IV.,IV.,IV.,3. Dự phòng đầu tư tài chính dài hạn,254,,(2.410.331.411),(13.150.453.685),,254.0,,-2410331411.0,-13150453685.0
V.,V.,V.,Tài sản dài hạn khác,260,,367.960.767.802,404.487.057.507,,260.0,,367960767802.0,404487057507.0
V.,V.,V.,1. Chi phí trả trước dài hạn,261,8,346.228.269.075,354.797.797.580,,261.0,8.0,346228269075.0,354797797580.0
V.,V.,V.,2. Tài sản thuê thu nhập hoãn lại,262,,21.732.498.727,49.689.259.927,,262.0,,21732498727.0,49689259927.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,7.164.207.655.159,7.844.448.011.895,,270.0,,7164207655159.0,7844448011895.0
