row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 20),Số cuối năm > Vay ngắn hạn (Thuyết minh số 20),Đơn vị tính: VND Số đầu năm > Vay ngắn hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 20),numeric__Số cuối năm > Vay ngắn hạn (Thuyết minh số 20),numeric__Đơn vị tính: VND Số đầu năm > Vay ngắn hạn (Thuyết minh số 20)
ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (i),ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (i),ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (i),Vay ngắn hạn,849.663.636.364,-,,849663636364.0,
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),Vay ngắn hạn,180.000.000.000,-,,180000000000.0,
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập (iii),Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập (iii),Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập (iii),Vay ngắn hạn,110.000.000.000,-,,110000000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (iv),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (iv),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (iv),Vay ngắn hạn,73.216.304.162,63.888.427.042,,73216304162.0,63888427042.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (v),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (v),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (v),Vay ngắn hạn,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0
,,,,1.242.879.940.526,93.888.427.042,,1242879940526.0,93888427042.0
Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (vi),Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (vi),Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (vi),Vay dài hạn,725.000.000.000,849.663.636.364,,725000000000.0,849663636364.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (vii),Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (vii),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (vii),Vay dài hạn,450.000.000.000,180.000.000.000,,450000000000.0,180000000000.0
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát (viii),Vay dài hạn (Thuyết minh số 20) > Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát (viii),Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát (viii),Vay dài hạn,284.000.000.000,-,,284000000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn,-,311.000.000.000,,,311000000000.0
,,,,1.459.000.000.000,1.340.663.636.364,,1459000000000.0,1340663636364.0
