row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,145.157.767.002,1.152.484.590.506,145157767002.0,1152484590506.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê dài hạn đất và cơ sở hạ tầng,Trong đó: > Doanh thu cho thuê dài hạn đất và cơ sở hạ tầng,Doanh thu cho thuê dài hạn đất và cơ sở hạ tầng,4.935.287.760,907.838.653.040,4935287760.0,907838653040.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,4.875.093.336,-,4875093336.0,
"Doanh thu cung cấp nước sạch, điện, phí dịch vụ, xử lý nước thải","Trong đó: > Doanh thu cung cấp nước sạch, điện, phí dịch vụ, xử lý nước thải","Doanh thu cung cấp nước sạch, điện, phí dịch vụ, xử lý nước thải",108.348.764.911,116.827.636.823,108348764911.0,116827636823.0
Doanh thu bán nhà xưởng,Trong đó: > Doanh thu bán nhà xưởng,Doanh thu bán nhà xưởng,-,91.831.114.520,,91831114520.0
"Doanh thu cho thuê kho, nhà xưởng và văn phòng","Trong đó: > Doanh thu cho thuê kho, nhà xưởng và văn phòng","Doanh thu cho thuê kho, nhà xưởng và văn phòng",26.438.014.931,35.255.368.003,26438014931.0,35255368003.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,560.606.064,731.818.120,560606064.0,731818120.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,145.157.767.002,1.152.484.590.506,145157767002.0,1152484590506.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,145.157.767.002,1.152.484.590.506,145157767002.0,1152484590506.0
Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,-,-,,
