row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),307.999.601.572,307.999.601.572,11.376.405.000,309.376.006.572,10.000.000.000,10.000.000.000,307999601572.0,307999601572.0,11376405000.0,309376006572.0,10000000000.0,10000000000.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 20.2),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 20.2),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 20.2),796.228.333.336,796.228.333.336,2.859.593.371.211,773.123.838.388,2.882.697.866.159,2.882.697.866.159,796228333336.0,796228333336.0,2859593371211.0,773123838388.0,2882697866159.0,2882697866159.0
Vay đối tượng khác(Thuyết minh số 20.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 20.3),Vay đối tượng khác(Thuyết minh số 20.3),50.000.000.000,50.000.000.000,-,-,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0,,,50000000000.0,50000000000.0
Vay các bên liên quan(Thuyết minh số 29),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 29),Vay các bên liên quan(Thuyết minh số 29),93.888.427.042,93.888.427.042,1.362.879.940.526,213.888.427.042,1.242.879.940.526,1.242.879.940.526,93888427042.0,93888427042.0,1362879940526.0,213888427042.0,1242879940526.0,1242879940526.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.248.116.361.950,1.248.116.361.950,4.233.849.716.737,1.296.388.272.002,4.185.577.806.685,4.185.577.806.685,1248116361950.0,1248116361950.0,4233849716737.0,1296388272002.0,4185577806685.0,4185577806685.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),26.721.000.106,26.721.000.106,187.523.024.479,33.604.743.765,180.639.280.820,180.639.280.820,26721000106.0,26721000106.0,187523024479.0,33604743765.0,180639280820.0,180639280820.0
Trái phiếu phát hành(Thuyết minh số 20.2),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 20.2),Trái phiếu phát hành(Thuyết minh số 20.2),3.233.059.581.397,3.233.059.581.397,595.876.120.359,2.854.266.109.092,974.669.592.664,974.669.592.664,3233059581397.0,3233059581397.0,595876120359.0,2854266109092.0,974669592664.0,974669592664.0
Vay các bên liên quan(Thuyết minh số 29),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 29),Vay các bên liên quan(Thuyết minh số 29),1.340.663.636.364,1.340.663.636.364,1.459.000.000.000,1.340.663.636.364,1.459.000.000.000,1.459.000.000.000,1340663636364.0,1340663636364.0,1459000000000.0,1340663636364.0,1459000000000.0,1459000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.600.444.217.867,4.600.444.217.867,2.242.399.144.838,4.228.534.489.221,2.614.308.873.484,2.614.308.873.484,4600444217867.0,4600444217867.0,2242399144838.0,4228534489221.0,2614308873484.0,2614308873484.0
