row_label_raw,row_label_full,Bà Nguyễn Bích Ngọc,Trường Ban kiểm soát,numeric__Trường Ban kiểm soát
Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Thành viên,
Ông Trần Tiến Thành,Ông Trần Tiến Thành,Ông Trần Tiến Thành,Thành viên,
