row_label_raw,row_label_full,Công ty TNHH Phát triển Công nghiệp Nam Sơn Hập Lĩnh,Số cuối năm > 313.236.000.000,Đơn vị tính: VND > Số đầu năm > -,numeric__Số cuối năm > 313.236.000.000,numeric__Đơn vị tính: VND > Số đầu năm > -
Người mua trả trước khác,Người mua trả trước khác,Người mua trả trước khác,4.921.610.323,4.978.067.468,4921610323.0,4978067468.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,318.157.610.323,4.978.067.468,318157610323.0,4978067468.0
