row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 18),Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18),Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18),numeric__Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18)
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phải trả ngắn hạn,37.414.553.416,2.898.609.185,,37414553416.0,2898609185.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Lãi vay phải trả ngắn hạn,9.143.342.465,9.143.342.465,,9143342465.0,9143342465.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Lãi vay phải trả ngắn hạn,6.053.424.655,-,,6053424655.0,
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Lãi vay phải trả ngắn hạn,716.054.795,-,,716054795.0,
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Lãi vay phải trả ngắn hạn,517.879.723,981.879.723,,517879723.0,981879723.0
,,,,53.845.255.054,13.023.831.373,,53845255054.0,13023831373.0
Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Lãi vay phải trả dài hạn,127.124.085.835,39.013.290.070,,127124085835.0,39013290070.0
Công ty Cổ phần Đầu tư Phát triển Long An,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,Lãi vay phải trả dài hạn,1.920.821.918,1.920.821.918,,1920821918.0,1920821918.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Lãi vay phải trả dài hạn,369.863.014,4.253.424.656,,369863014.0,4253424656.0
Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Lãi vay phải trả dài hạn,233.424.658,-,,233424658.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phải trả dài hạn,-,14.110.027.398,,,14110027398.0
,,,,129.648.195.425,59.297.564.042,,129648195425.0,59297564042.0
Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả khác,858.000.000,858.000.000,,858000000.0,858000000.0
,,,,858.000.000,858.000.000,,858000000.0,858000000.0
