row_label_raw,row_label_full,Chỉ tiêu,Đầu năm VND,Tăng dự phòng VND,Hoàn nhập dự phòng VND,Phân loại lại,Số cuối năm VND,numeric__Đầu năm VND,numeric__Tăng dự phòng VND,numeric__Hoàn nhập dự phòng VND,numeric__Phân loại lại,numeric__Số cuối năm VND
Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,,,,(52.138.367.878),,,,,-52138367878.0,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,(1.314.628.366),(2.255.414.338),35.218.328.367,-,(20.490.082.215),-1314628366.0,-2255414338.0,35218328367.0,,-20490082215.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,(72.339.157.699),(1.822.176.108),,52.138.367.878,(22.022.965.929),-72339157699.0,-1822176108.0,,52138367878.0,-22022965929.0
,,,(73.653.786.065),(4.077.590.446),35.218.328.367,-,(42.513.048.144),-73653786065.0,-4077590446.0,35218328367.0,,-42513048144.0
Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,,,,,,,,,,
Cổ phiếu niêm yết,Dự phòng giảm giá chứng khoán dài hạn > Cổ phiếu niêm yết,Cổ phiếu niêm yết,(68.077.726.036),(69.771.654.297),23.541.867.360,-,(114.307.512.973),-68077726036.0,-69771654297.0,23541867360.0,,-114307512973.0
Cổ phiếu chưa niêm yết,Dự phòng giảm giá chứng khoán dài hạn > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,(42.091.736.802),(1.929.297.008),11.468.569.330,-,(32.552.464.480),-42091736802.0,-1929297008.0,11468569330.0,,-32552464480.0
Đầu tư dài hạn khác,Dự phòng giảm giá chứng khoán dài hạn > Đầu tư dài hạn khác,Đầu tư dài hạn khác,(297.743.000.000),-,247.748.510.284,49.994.489.716,-,-297743000000.0,,247748510284.0,49994489716.0,
,,,(407.912.462.838),(71.700.951.305),282.758.946.974,49.994.489.716,(146.859.977.453),-407912462838.0,-71700951305.0,282758946974.0,49994489716.0,-146859977453.0
,,,(481.566.248.903),(75.778.541.751),317.977.275.341,49.994.489.716,(189.373.025.597),-481566248903.0,-75778541751.0,317977275341.0,49994489716.0,-189373025597.0
