row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc thiết bịVND,Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quán lýVND",Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc thiết bịVND,numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quán lýVND",numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.609.391.520,68.196.998.519,14.504.261.403,1.156.743.642,86.467.395.084,2609391520.0,68196998519.0,14504261403.0,1156743642.0,86467395084.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.609.954.494,-,37.840.000,2.647.794.494,,2609954494.0,,37840000.0,2647794494.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,2.609.954.494,-,37.840.000,2.647.794.494,,2609954494.0,,37840000.0,2647794494.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
Bán thanh lý,Nguyên giá > Bán thanh lý,Bán thanh lý,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.609.391.520,68.941.847.513,14.504.261.403,1.194.583.642,87.250.084.078,2609391520.0,68941847513.0,14504261403.0,1194583642.0,87250084078.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,2.609.391.520,55.157.869.212,8.263.775.521,1.056.240.308,67.087.276.561,2609391520.0,55157869212.0,8263775521.0,1056240308.0,67087276561.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,-,5.799.632.635,1.379.431.955,51.030.666,7.230.095.256,,5799632635.0,1379431955.0,51030666.0,7230095256.0
Khấu hao,Hao mòn lũy kế > Khấu hao,Khấu hao,-,5.799.632.635,1.379.431.955,51.030.666,7.230.095.256,,5799632635.0,1379431955.0,51030666.0,7230095256.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
Bán thanh lý,Hao mòn lũy kế > Bán thanh lý,Bán thanh lý,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,2.609.391.520,59.092.396.347,9.643.207.476,1.107.270.974,72.452.266.317,2609391520.0,59092396347.0,9643207476.0,1107270974.0,72452266317.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,13.039.129.307,6.240.485.882,100.503.334,19.380.118.523,,13039129307.0,6240485882.0,100503334.0,19380118523.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,9.849.451.166,4.861.053.927,87.312.668,14.797.817.761,,9849451166.0,4861053927.0,87312668.0,14797817761.0
