row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Không kỳ hạnVND > Ngày 31 tháng 12 năm 2015,Đến 3 thángVND > Ngày 31 tháng 12 năm 2015,Từ 3 - 12 thángVND > Ngày 31 tháng 12 năm 2015,Từ 1 - 5 nămVND > Ngày 31 tháng 12 năm 2015,Tổng cộngVND > Ngày 31 tháng 12 năm 2015,numeric__Không kỳ hạnVND > Ngày 31 tháng 12 năm 2015,numeric__Đến 3 thángVND > Ngày 31 tháng 12 năm 2015,numeric__Từ 3 - 12 thángVND > Ngày 31 tháng 12 năm 2015,numeric__Từ 1 - 5 nămVND > Ngày 31 tháng 12 năm 2015,numeric__Tổng cộngVND > Ngày 31 tháng 12 năm 2015
Vay và nợ phải trả,Vay và nợ phải trả,Vay và nợ phải trả,1.706.347.967.537,2.207.500.000.000,-,687.500.000.000,4.601.347.967.537,1706347967537.0,2207500000000.0,,687500000000.0,4601347967537.0
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,1.241.656.219.531,308.942.165.127,-,-,1.550.598.384.658,1241656219531.0,308942165127.0,,,1550598384658.0
Phải trả tổ chức phát hành chứng khoán,Phải trả tổ chức phát hành chứng khoán,Phải trả tổ chức phát hành chứng khoán,606.457.160,82.981.800,-,-,689.438.960,606457160.0,82981800.0,,,689438960.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,50.005.043.307,13.401.527.779,-,63.406.571.086,,50005043307.0,13401527779.0,,63406571086.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",6.763.209.628,189.858.817.475,-,453.246.600,197.075.273.703,6763209628.0,189858817475.0,,453246600.0,197075273703.0
,,,2.955.373.853.856,2.756.389.007.709,13.401.527.779,687.953.246.600,6.413.117.635.944,2955373853856.0,2756389007709.0,13401527779.0,687953246600.0,6413117635944.0
Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,,,,,
Vay và nợ phải trả,Ngày 31 tháng 12 năm 2014 > Vay và nợ phải trả,Vay và nợ phải trả,1.276.127.466.877,230.000.000.000,-,-,1.506.127.466.877,1276127466877.0,230000000000.0,,,1506127466877.0
Phải trả hoạt động giao dịch chứng khoán,Ngày 31 tháng 12 năm 2014 > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,944.143.998.877,153.707.005.683,-,-,1.097.851.004.560,944143998877.0,153707005683.0,,,1097851004560.0
Phải trả tổ chức phát hành chứng khoán,Ngày 31 tháng 12 năm 2014 > Phải trả tổ chức phát hành chứng khoán,Phải trả tổ chức phát hành chứng khoán,606.457.160,1.277.582.000,-,-,1.884.039.160,606457160.0,1277582000.0,,,1884039160.0
Chi phí phải trả,Ngày 31 tháng 12 năm 2014 > Chi phí phải trả,Chi phí phải trả,7.755.626,10.721.559.086,-,-,10.729.314.712,7755626.0,10721559086.0,,,10729314712.0
"Các khoản phải trả, phải nộp khác","Ngày 31 tháng 12 năm 2014 > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",6.714.546.616,256.474.878.469,-,559.315.985,263.748.741.070,6714546616.0,256474878469.0,,559315985.0,263748741070.0
,,,2.227.600.225.154,652.181.025.239,-,559.315.985,2.880.340.566.378,2227600225154.0,652181025239.0,,559315985.0,2880340566378.0
