row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thắng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giả VND,Quỹ dự trữ pháp định và dự phòng tài chính VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thắng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giả VND,numeric__Quỹ dự trữ pháp định và dự phòng tài chính VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số đầu năm,Số đầu năm,Số đầu năm,3.537.949.420.000,342.196.810.218,(4.185.339.535),(54.900),-,372.998.887.930,1.441.990.375.228,82.855.645.584,5.773.805.744.525,3537949420000.0,342196810218.0,-4185339535.0,-54900.0,,372998887930.0,1441990375228.0,82855645584.0,5773805744525.0
Phát hành cổ phiếu trong năm (i),Phát hành cổ phiếu trong năm (i),Phát hành cổ phiếu trong năm (i),1.262.687.420.000,(312.910.950.218),-,-,-,-,(797.322.609.782),-,152.453.860.000,1262687420000.0,-312910950218.0,,,,,-797322609782.0,,152453860000.0
Trích quỹ dự trữ pháp định và dự phòng tài chính theo Nghị quyết Đại hội đồng cổ đông,Trích quỹ dự trữ pháp định và dự phòng tài chính theo Nghị quyết Đại hội đồng cổ đông,Trích quỹ dự trữ pháp định và dự phòng tài chính theo Nghị quyết Đại hội đồng cổ đông,-,-,-,-,-,74.424.157.384,(74.424.157.384),-,-,,,,,,74424157384.0,-74424157384.0,,
Trích lập quỹ của công ty con SSIAM,Trích lập quỹ của công ty con SSIAM,Trích lập quỹ của công ty con SSIAM,-,-,-,-,-,4.223.264.436,(4.223.264.436),-,-,,,,,,4223264436.0,-4223264436.0,,
"Trích quỹ khen thưởng, phúc lợi và quỹ từ thiên theo Nghị quyết Đại hội đồng cổ đông","Trích quỹ khen thưởng, phúc lợi và quỹ từ thiên theo Nghị quyết Đại hội đồng cổ đông","Trích quỹ khen thưởng, phúc lợi và quỹ từ thiên theo Nghị quyết Đại hội đồng cổ đông",-,-,-,-,-,-,(52.096.910.169),-,(52.096.910.169),,,,,,,-52096910169.0,,-52096910169.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(170.427.500),-,-,-,-,(170.427.500),,,,-170427500.0,,,,,-170427500.0
Điều chính thuê thu nhập doanh nghiệp hiện hành,Điều chính thuê thu nhập doanh nghiệp hiện hành,Điều chính thuê thu nhập doanh nghiệp hiện hành,-,-,-,-,-,-,(379.510.893),-,(379.510.893),,,,,,,-379510893.0,,-379510893.0
Điều chính thuê thu nhập doanh nghiệp hoãn lại,Điều chính thuê thu nhập doanh nghiệp hoãn lại,Điều chính thuê thu nhập doanh nghiệp hoãn lại,-,-,-,-,-,-,207.915.770,-,207.915.770,,,,,,,207915770.0,,207915770.0
Điều chính lợi nhuận của công ty con Chênh lệch tỷ giá chuyển đổi bảo cáo tài chính công ty con SSIIC,Điều chính lợi nhuận của công ty con Chênh lệch tỷ giá chuyển đổi bảo cáo tài chính công ty con SSIIC,Điều chính lợi nhuận của công ty con Chênh lệch tỷ giá chuyển đổi bảo cáo tài chính công ty con SSIIC,-,-,-,-,-,-,108.188.744,-,108.188.744,,,,,,,108188744.0,,108188744.0
Chênh lệch phát sinh do công ty liên kết tăng vốn đầu tư vào công ty con Chênh lệch phát sinh do công ty liên kết thay đổi cổ phiếu lưu hành,Chênh lệch phát sinh do công ty liên kết tăng vốn đầu tư vào công ty con Chênh lệch phát sinh do công ty liên kết thay đổi cổ phiếu lưu hành,Chênh lệch phát sinh do công ty liên kết tăng vốn đầu tư vào công ty con Chênh lệch phát sinh do công ty liên kết thay đổi cổ phiếu lưu hành,-,-,-,-,31.013.180.718,-,-,-,31.013.180.718,,,,,31013180718.0,,,,31013180718.0
Thanh lý công ty liên kết Thay đổi lợi ích cổ đông không kiểm soát (thuyết minh 32),Thanh lý công ty liên kết Thay đổi lợi ích cổ đông không kiểm soát (thuyết minh 32),Thanh lý công ty liên kết Thay đổi lợi ích cổ đông không kiểm soát (thuyết minh 32),-,-,(3.738.492.630),-,-,-,-,-,(3.738.492.630),,,-3738492630.0,,,,,,-3738492630.0
Thanh lý công ty liên kết Thay đổi lợi ích cổ đông không kiểm soát (thuyết minh 32),Thanh lý công ty liên kết Thay đổi lợi ích cổ đông không kiểm soát (thuyết minh 32),Thanh lý công ty liên kết Thay đổi lợi ích cổ đông không kiểm soát (thuyết minh 32),-,-,3.314.317.726,-,-,-,-,-,3.314.317.726,,,3314317726.0,,,,,,3314317726.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,851.905.717.887,(1.715.283.219),(1.715.283.219),,,,,,,851905717887.0,-1715283219.0,-1715283219.0
Số cuối năm,Số cuối năm,Số cuối năm,4.800.636.840.000,29.285.860.000,(4.609.514.439),(170.482.400),31.013.180.718,451.646.309.750,1.338.666.458.296,81.140.362.365,6.727.609.014.290,4800636840000.0,29285860000.0,-4609514439.0,-170482400.0,31013180718.0,451646309750.0,1338666458296.0,81140362365.0,6727609014290.0
