row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/(chi phí)VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/(chi phí)VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu nămVND,Tăng trong nămVND,Giám trong nămVND,Số cuối nămVND,Doanh thu/(chi phí)VND,,,,,,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,"Phi giao dịch chứng khoán, phílưu ký và ứng trước tiền bán",-,2.765.698.040,(2.765.698.040),-,2.765.698.040,,,2765698040.0,-2765698040.0,,2765698040.0
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Phải thu ký quỹ,-,164.993.424.297,(120.369.726.771),44.623.697.526,-,,,164993424297.0,-120369726771.0,44623697526.0,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Phí ký quỹ,-,283.288.396,(283.288.396),-,283.288.396,,,283288396.0,-283288396.0,,283288396.0
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Phí hợp đồng tư vấn,227.900.000,2.741.000.000,(2.888.900.000),80.000.000,2.690.000.000,,227900000.0,2741000000.0,-2888900000.0,80000000.0,2690000000.0
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Ứng trước hợp đồng tư vấn,-,(100.000.000),-,(100.000.000),-,,,-100000000.0,,-100000000.0,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Ứng mua chứng khoán,(50.100.000.000),(35.589.210.483),85.688.513.158,(697.325),-,,-50100000000.0,-35589210483.0,85688513158.0,-697325.0,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Chỉ phí thuê kho và dịch vụ,-,(1.425.396.856),1.379.001.486,(46.395.370),(1.425.396.856),,,-1425396856.0,1379001486.0,-46395370.0,-1425396856.0
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Nhận cọc môi giới chứng khoán,(85.126.479.812),(4.124.112.760.216),4.209.239.240.028,-,-,,-85126479812.0,-4124112760216.0,4209239240028.0,,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Lãi nhận cọc phải trả,(191.591.866),(21.099.879.520),21.291.471.386,-,(21.099.879.520),,-191591866.0,-21099879520.0,21291471386.0,,-21099879520.0
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Bản chứng khoán,-,538.715.272.000,(538.715.272.000),-,-,,,538715272000.0,-538715272000.0,,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Đặt cọc thuê kho,78.262.800,-,-,78.262.800,-,,78262800.0,,,78262800.0,
Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty liên quan > Công ty Cổ phần Tậpđoàn PAN và công ty con,Công ty Cổ phần Tậpđoàn PAN và công ty con,Gộp vốn đầu tư theo phươngpháp vốn chủ sở hữu,238.871.479.159,227.673.264.927,(43.812.636.669),422.732.107.417,-,,238871479159.0,227673264927.0,-43812636669.0,422732107417.0,
Công ty Cổ phần CảngĐồng Nai,Công ty liên quan > Công ty Cổ phần CảngĐồng Nai,Công ty Cổ phần CảngĐồng Nai,Gộp vốn đầu tư theo phươngpháp vốn chủ sở hữu,62.606.030.071,8.600.907.123,(4.199.426.700),67.007.510.494,-,,62606030071.0,8600907123.0,-4199426700.0,67007510494.0,
Công ty Cổ phần KhửTrùng Việt Nam,Công ty liên quan > Công ty Cổ phần KhửTrùng Việt Nam,Công ty Cổ phần KhửTrùng Việt Nam,Gộp vốn đầu tư theo phươngpháp vốn chủ sở hữu,122.964.194.036,26.798.675.922,(7.505.765.000),142.257.104.958,-,,122964194036.0,26798675922.0,-7505765000.0,142257104958.0,
Các đối tượng khác,Công ty liên quan > Các đối tượng khác,Các đối tượng khác,Mua trái phiếu,-,(50.000.000.000),50.000.000.000,-,,,,-50000000000.0,50000000000.0,,
Các đối tượng khác,Công ty liên quan > Các đối tượng khác,Các đối tượng khác,Lãi trải phiếu,,(2.072.800.000),2.072.800.000,,(2.072.800.000),,,-2072800000.0,2072800000.0,,-2072800000.0
Các đối tượng khác,Công ty liên quan > Các đối tượng khác,Các đối tượng khác,Phí dịch vụ,,15.663.898.889,(15.663.898.889),,14.239.908.081,,,15663898889.0,-15663898889.0,,14239908081.0
