row_label_raw,row_label_full,Bên liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/(chi phi)VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/(chi phi)VND
Bên liên quan,Bên liên quan,Bên liên quan,Giao dịch,Số đầu nămVND,Tăng trong nămVND,Giảm trong nămVND,Số cuối nămVND,Doanh thu/(chi phi)VND,,,,,,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Bên liên quan > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Góp vốn đầu tư,15.000.000.000,-,-,15.000.000.000,-,,15000000000.0,,,15000000000.0,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,"Phi ứng trước tiền bản chứng khoán,phi lưu ký, phi giao dịch chứng khoán",-,2.226.378.492(16.049.663.850),(2.226.378.492)16.049.663.850,-,2.226.378.492(11.286.934.195),,,,,,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Tiền thuê mặt bằng,-,2.226.378.492(16.049.663.850),(2.226.378.492)16.049.663.850,-,2.226.378.492(11.286.934.195),,,,,,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Đặt cọc thuê văn phòng,10.800.702.000,-,-,10.800.702.000,-,,10800702000.0,,,10800702000.0,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Lãi đặt cọc thuê văn phòng,-,1.095.071.178,(1.095.071.178),-,1.095.071.178,,,1095071178.0,-1095071178.0,,1095071178.0
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Phải thu ký quỹ,275.064.403,731.791.647.648,(628.361.643.209),103.705.068.842,-,,275064403.0,731791647648.0,-628361643209.0,103705068842.0,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Ứng trước hợp đồng môi giới tráiphiếu,-,885.877.932.143,(743.431.720.643),142.446.211.500,-,,,885877932143.0,-743431720643.0,142446211500.0,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Phi tư vấn đầu tư chứng khoán,-,2.000.000.000,(2.000.000.000),-,2.000.000.000,,,2000000000.0,-2000000000.0,,2000000000.0
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Cổ tức,-,5.999.996.000,(5.999.996.000),-,5.999.996.000,,,5999996000.0,-5999996000.0,,5999996000.0
