row_label_raw,row_label_full,Chủng khoán,Số lượng,Giá trị ghi số VND,Giảm so với giá thị trường VND,Tổng giá trị thị trường VND,numeric__Số lượng,numeric__Giá trị ghi số VND,numeric__Giảm so với giá thị trường VND,numeric__Tổng giá trị thị trường VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
HPG,Cổ phiếu niêm yết > HPG,HPG,8.000.055,274.834.808.580,(41.233.202.580),233.601.606.000,8000055.0,274834808580.0,-41233202580.0,233601606000.0
GIL,Cổ phiếu niêm yết > GIL,GIL,2.707.226,81.968.204.098,(24.532.598),81.943.671.500,2707226.0,81968204098.0,-24532598.0,81943671500.0
ELC,Cổ phiếu niêm yết > ELC,ELC,4.089.025,101.933.671.837,(12.599.747.700),89.333.924.137,4089025.0,101933671837.0,-12599747700.0,89333924137.0
PET,Cổ phiếu niêm yết > PET,PET,3.039.000,45.055.590.741,(4.636.890.741),40.418.700.000,3039000.0,45055590741.0,-4636890741.0,40418700000.0
PVS,Cổ phiếu niêm yết > PVS,PVS,2.413.700,91.890.222.350,(51.581.432.350),40.308.790.000,2413700.0,91890222350.0,-51581432350.0,40308790000.0
HTI,Cổ phiếu niêm yết > HTI,HTI,512.550,8.359.437.060,(1.132.482.060),7.226.955.000,512550.0,8359437060.0,-1132482060.0,7226955000.0
DPR,Cổ phiếu niêm yết > DPR,DPR,529.980,22.125.506.944,(3.099.224.944),19.026.282.000,529980.0,22125506944.0,-3099224944.0,19026282000.0
,,,21.291.536,626.167.441.610,(114.307.512.973),511.859.928.637,21291536.0,626167441610.0,-114307512973.0,511859928637.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
CTCP Kinh Viglacera Đáp Cầu,Cổ phiếu chưa niêm yết > CTCP Kinh Viglacera Đáp Cầu,CTCP Kinh Viglacera Đáp Cầu,800.000,15.200.000.000,(14.575.200.000),624.800.000,800000.0,15200000000.0,-14575200000.0,624800000.0
CTCP Truyền thông VMG,Cổ phiếu chưa niêm yết > CTCP Truyền thông VMG,CTCP Truyền thông VMG,1.414.000,44.488.000.000,(8.240.110.000),36.247.890.000,1414000.0,44488000000.0,-8240110000.0,36247890000.0
CTCP Việt Tín,Cổ phiếu chưa niêm yết > CTCP Việt Tín,CTCP Việt Tín,6.299,6.654.826.400,(4.135.226.400),2.519.600.000,6299.0,6654826400.0,-4135226400.0,2519600000.0
CTCP Xây Dương Công Nghiệp Descon,Cổ phiếu chưa niêm yết > CTCP Xây Dương Công Nghiệp Descon,CTCP Xây Dương Công Nghiệp Descon,398.470,11.324.672.774,(5.601.928.080),5.722.744.694,398470.0,11324672774.0,-5601928080.0,5722744694.0
,,,2.618.769,77.667.499.174,(32.552.464.480),45.115.034.694,2618769.0,77667499174.0,-32552464480.0,45115034694.0
,,,23.910.305,703.834.940.784,(146.859.977.453),556.974.963.331,23910305.0,703834940784.0,-146859977453.0,556974963331.0
