row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Số cuối năm VND,numeric__Chỉ tiêu,numeric__Số đầu năm VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Số cuối năm VND
I,I,I,Thuế,48.730.855.015,311.966.382.598,(268.849.077.503),91.848.160.110,,48730855015.0,311966382598.0,-268849077503.0,91848160110.0
1,1,1,Thuế giá trị gia tăng hàng bản nội địa,766.442.891,6.932.194.844,(6.795.115.329),903.522.406,,766442891.0,6932194844.0,-6795115329.0,903522406.0
2,2,2,Thuế thu nhập doanh nghiệp (Thuyết minh 31),23.038.276.709,202.183.085.122,(150.005.958.158),75.215.403.673,,23038276709.0,202183085122.0,-150005958158.0,75215403673.0
3,3,3,Các loại thuế khác,24.926.135.415,102.851.102.632,(112.048.004.016),15.729.234.031,,24926135415.0,102851102632.0,-112048004016.0,15729234031.0
,,,- Thuế thu nhập cá nhân,4.801.761.908,24.609.478.695,(25.223.074.420),4.188.166.183,,4801761908.0,24609478695.0,-25223074420.0,4188166183.0
,,,- Thuế thu nhập cá nhân nộp hộ nhà đầu tư,15.215.147.616,53.663.746.688,(59.746.704.142),9.132.190.162,,15215147616.0,53663746688.0,-59746704142.0,9132190162.0
,,,- Thuế môn bài,-,14.000.000,(14.000.000),-,,,14000000.0,-14000000.0,
,,,- Thuế khác,4.909.225.891,24.563.877.249,(27.064.225.454),2.408.877.686,,4909225891.0,24563877249.0,-27064225454.0,2408877686.0
II,II,II,Các khoản phải nộp khác,-,161.923.192,(161.923.192),-,,,161923192.0,-161923192.0,
,,,,48.730.855.015,312.128.305.790,(269.011.000.695),91.848.160.110,,48730855015.0,312128305790.0,-269011000695.0,91848160110.0
