row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất > Số cuối năm VND,Bảng cân đối kế toán hợp nhất > Số đầu năm VND,Ảnh hưởng tối Báo cáo kết quả hoạt động kinh doanh hợp nhất Năm nay VND,numeric__Bảng cân đối kế toán hợp nhất > Số cuối năm VND,numeric__Bảng cân đối kế toán hợp nhất > Số đầu năm VND,numeric__Ảnh hưởng tối Báo cáo kết quả hoạt động kinh doanh hợp nhất Năm nay VND
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,50.979.884.031,88.452.941.782,(37.473.057.751),50979884031.0,88452941782.0,-37473057751.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,(1.812.751.858),(27.359.739.675),25.546.987.817,-1812751858.0,-27359739675.0,25546987817.0
Thuế TNDN hoãn lại điều chỉnh theo quyết toán thuế năm,Thuế TNDN hoãn lại điều chỉnh theo quyết toán thuế năm,Thuế TNDN hoãn lại điều chỉnh theo quyết toán thuế năm,-,-,(207.915.769),,,-207915769.0
Tài sản thuế TNDN hoãn lại thuần,Tài sản thuế TNDN hoãn lại thuần,Tài sản thuế TNDN hoãn lại thuần,49.167.132.173,61.093.202.107,,49167132173.0,61093202107.0,
Chi phí thuế TNDN hoãn lại thuần,Chi phí thuế TNDN hoãn lại thuần,Chi phí thuế TNDN hoãn lại thuần,,,(12.133.985.703),,,-12133985703.0
