row_label_raw,row_label_full,col_0,Phần mềm VND,Quyền sử dụng đất vô thời hạn VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Phần mềm VND,numeric__Quyền sử dụng đất vô thời hạn VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,49.872.228.399,109.671.558.000,6.307.933.437,165.851.719.836,49872228399.0,109671558000.0,6307933437.0,165851719836.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.328.243.320,-,341.282.405,1.669.525.725,1328243320.0,,341282405.0,1669525725.0
Mua mới,Nguyên giá > Mua mới,Mua mới,1.328.243.320,-,341.282.405,1.669.525.725,1328243320.0,,341282405.0,1669525725.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,51.200.471.719,109.671.558.000,6.649.215.842,167.521.245.561,51200471719.0,109671558000.0,6649215842.0,167521245561.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,43.695.216.214,-,2.069.717.859,45.764.934.073,43695216214.0,,2069717859.0,45764934073.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,3.828.854.677,-,1.043.211.488,4.872.066.165,3828854677.0,,1043211488.0,4872066165.0
Khấu hao,Hao mòn lũy kế > Khấu hao,Khấu hao,3.828.854.677,-,1.043.211.488,4.872.066.165,3828854677.0,,1043211488.0,4872066165.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,47.524.070.891,-,3.112.929.347,50.637.000.238,47524070891.0,,3112929347.0,50637000238.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,6.177.012.185,109.671.558.000,4.238.215.578,120.086.785.763,6177012185.0,109671558000.0,4238215578.0,120086785763.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.676.400.828,109.671.558.000,3.536.286.495,116.884.245.323,3676400828.0,109671558000.0,3536286495.0,116884245323.0
