row_label_raw,row_label_full,col_0,Nhà và đấtVND,numeric__Nhà và đấtVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,283.612.736.520,283612736520.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,28.034.878.581,28034878581.0
- Giá trị nâng cấp tài sản,Nguyên giá > - Giá trị nâng cấp tài sản,- Giá trị nâng cấp tài sản,169.292.800,169292800.0
- Đánh giá lại tỷ giá khi chuyển đối báo cáo,Nguyên giá > - Đánh giá lại tỷ giá khi chuyển đối báo cáo,- Đánh giá lại tỷ giá khi chuyển đối báo cáo,27.865.585.781,27865585781.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,311.647.615.101,311647615101.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,31.352.705.335,31352705335.0
Tăng trong năm (khấu hao),Hao mòn lũy kế > Tăng trong năm (khấu hao),Tăng trong năm (khấu hao),9.027.215.379,9027215379.0
Tăng khác,Hao mòn lũy kế > Tăng khác,Tăng khác,61.104.039,61104039.0
Tăng do chênh lệch tỉ giá,Hao mòn lũy kế > Tăng do chênh lệch tỉ giá,Tăng do chênh lệch tỉ giá,2.796.669.316,2796669316.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,43.237.694.069,43237694069.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,252.260.031.185,252260031185.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,268.409.921.032,268409921032.0
