row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2014,Số dư đầu năm > Ngày 1 tháng 1 năm 2015,Số tăng/ giảm > Năm 2014 > Tăng,Số tăng/ giảm > Năm 2014 > Giảm,Số tăng/ giảm > Năm 2015 > Tăng,Số tăng/ giảm > Năm 2015 > Giảm,Số dư cuối năm > 31 tháng 12 năm 2014,Số dư cuối năm > 31 tháng 12 năm 2015,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2014,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2015,numeric__Số tăng/ giảm > Năm 2014 > Tăng,numeric__Số tăng/ giảm > Năm 2014 > Giảm,numeric__Số tăng/ giảm > Năm 2015 > Tăng,numeric__Số tăng/ giảm > Năm 2015 > Giảm,numeric__Số dư cuối năm > 31 tháng 12 năm 2014,numeric__Số dư cuối năm > 31 tháng 12 năm 2015
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,26.1,3.537.949.420.000,3.537.949.420.000,-,-,1.262.687.420.000,-,3.537.949.420.000,4.800.636.840.000,261.0,3537949420000.0,3537949420000.0,,,1262687420000.0,,3537949420000.0,4800636840000.0
2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,,344.944.356.378,342.196.810.218,-,(2.747.546.160),29.423.360.000,(342.334.310.218),342.196.810.218,29.285.860.000,,344944356378.0,342196810218.0,,-2747546160.0,29423360000.0,-342334310218.0,342196810218.0,29285860000.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,,(5.358.122.972),(4.185.339.535),1.172.783.437,-,-,(424.174.904),(4.185.339.535),(4.609.514.439),,-5358122972.0,-4185339535.0,1172783437.0,,,-424174904.0,-4185339535.0,-4609514439.0
4. Cổ phiếu quỹ,4. Cổ phiếu quỹ,4. Cổ phiếu quỹ,,(89.246.317.760),(54.900),(54.900),89.246.317.760,(170.427.500),-,(54.900),(170.482.400),,-89246317760.0,-54900.0,-54900.0,89246317760.0,-170427500.0,,-54900.0,-170482400.0
5. Chênh lệch tỷ giá hối đoài,5. Chênh lệch tỷ giá hối đoài,5. Chênh lệch tỷ giá hối đoài,,-,-,-,-,31.013.180.718,-,-,31.013.180.718,,,,,,31013180718.0,,,31013180718.0
6. Quỹ dự phòng tài chính và dự trữ pháp định,6. Quỹ dự phòng tài chính và dự trữ pháp định,6. Quỹ dự phòng tài chính và dự trữ pháp định,,335.813.119.252,372.998.887.930,37.185.768.678,-,78.647.421.820,-,372.998.887.930,451.646.309.750,,335813119252.0,372998887930.0,37185768678.0,,78647421820.0,,372998887930.0,451646309750.0
7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,32,82.990.304.915,82.855.645.584,-,(134.659.331),-,(1.715.283.219),82.855.645.584,81.140.362.365,32.0,82990304915.0,82855645584.0,,-134659331.0,,-1715283219.0,82855645584.0,81140362365.0
8. Lợi nhuận chưa phân phối,8. Lợi nhuận chưa phân phối,8. Lợi nhuận chưa phân phối,,1.118.079.667.080,1.441.990.375.228,745.062.019.228,(421.151.311.080),852.221.822.401,(955.545.739.333),1.441.990.375.228,1.338.666.458.296,,1118079667080.0,1441990375228.0,745062019228.0,-421151311080.0,852221822401.0,-955545739333.0,1441990375228.0,1338666458296.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,5.325.172.426.893,5.773.805.744.525,783.420.516.443,(334.787.198.811),2.253.822.777.439,(1.300.019.507.674),5.773.805.744.525,6.727.609.014.290,,5325172426893.0,5773805744525.0,783420516443.0,-334787198811.0,2253822777439.0,-1300019507674.0,5773805744525.0,6727609014290.0
