row_label_raw,row_label_full,col_0,Môi giói và dịch vụ khách hàng VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Quản lý danh mục VND,Ngân hàng đầu tư và bộ phận khác VND,Tổng cộng VND,numeric__Môi giói và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Quản lý danh mục VND,numeric__Ngân hàng đầu tư và bộ phận khác VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoản,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > 1. Doanh thu thuần hoạt động kinh doanh chứng khoản,1. Doanh thu thuần hoạt động kinh doanh chứng khoản,601.180.239.076,444.709.197.857,268.790.852.389,13.730.952.469,59.431.922.409,1.387.843.164.199,601180239076.0,444709197857.0,268790852389.0,13730952469.0,59431922409.0,1387843164199.0
2. Các chi phí trực tiếp,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,211.768.315.459,(253.441.353.351),162.530.375.446,18.530.165.811,11.932.518.803,151.320.022.168,211768315459.0,-253441353351.0,162530375446.0,18530165811.0,11932518803.0,151320022168.0
3. Khẩu hao và các chi phi phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > 3. Khẩu hao và các chi phi phân bổ,3. Khẩu hao và các chi phi phân bổ,123.694.458.749,11.320.370.441,6.383.295.908,16.168.372.147,14.819.842.354,172.386.339.599,123694458749.0,11320370441.0,6383295908.0,16168372147.0,14819842354.0,172386339599.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,265.717.464.868,686.830.180.767,99.877.181.035,(20.967.585.489),32.679.561.382,1.064.136.802.562,265717464868.0,686830180767.0,99877181035.0,-20967585489.0,32679561382.0,1064136802562.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,,
1. Tài sản bộ phân,Tại ngày 31 tháng 12 năm 2015 > 1. Tài sản bộ phân,1. Tài sản bộ phân,4.614.097.942.972,3.058.820.362.769,4.977.465.570.610,2.381.721.022,6.971.262.528,12.659.736.859.901,4614097942972.0,3058820362769.0,4977465570610.0,2381721022.0,6971262528.0,12659736859901.0
2. Tài sản phân bổ,Tại ngày 31 tháng 12 năm 2015 > 2. Tài sản phân bổ,2. Tài sản phân bổ,127.543.868.241,7.275.992.484,2.567.997.347,14.979.984.525,11.983.987.620,164.351.830.216,127543868241.0,7275992484.0,2567997347.0,14979984525.0,11983987620.0,164351830216.0
3. Tài sản không phân bổ,Tại ngày 31 tháng 12 năm 2015 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,573.392.713.803,,,,,,573392713803.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2015 > Tổng tài sản,Tổng tài sản,4.741.641.811.213,3.066.096.355.252,4.980.033.567.957,17.361.705.547,18.955.250.148,13.397.481.403.920,4741641811213.0,3066096355252.0,4980033567957.0,17361705547.0,18955250148.0,13397481403920.0
1. Nợ phải trả bộ phân,Tại ngày 31 tháng 12 năm 2015 > 1. Nợ phải trả bộ phân,1. Nợ phải trả bộ phân,1.462.823.255.388,146.846.979.931,4.830.015.033.733,-,7.186.688.770,6.446.871.957.822,1462823255388.0,146846979931.0,4830015033733.0,,7186688770.0,6446871957822.0
2. Nợ phân bổ,Tại ngày 31 tháng 12 năm 2015 > 2. Nợ phân bổ,2. Nợ phân bổ,93.007.788.850,5.305.813.458,1.872.640.044,10.923.733.590,8.738.986.872,119.848.962.814,93007788850.0,5305813458.0,1872640044.0,10923733590.0,8738986872.0,119848962814.0
3. Nợ không phân bổ,Tại ngày 31 tháng 12 năm 2015 > 3. Nợ không phân bổ,3. Nợ không phân bổ,-,-,-,-,-,103.151.468.994,,,,,,103151468994.0
Tổng công nợ,Tại ngày 31 tháng 12 năm 2015 > Tổng công nợ,Tổng công nợ,1.555.831.044.238,152.152.793.389,4.831.887.673.777,10.923.733.590,15.925.675.642,6.669.872.389.630,1555831044238.0,152152793389.0,4831887673777.0,10923733590.0,15925675642.0,6669872389630.0
