row_label_raw,row_label_full,Chỉ tiêu > Tại ngày 31 tháng 12 năm 2015,Số lượng cổ phiếu > Tại ngày 31 tháng 12 năm 2015,Giá trị theo sổ kế toán VND > Tại ngày 31 tháng 12 năm 2015,So với giá thị trường > Tăng VND > Tại ngày 31 tháng 12 năm 2015,So với giá thị trường > Giảm VND > Tại ngày 31 tháng 12 năm 2015,Tổng giá trị theo giá thị trường VND > Tại ngày 31 tháng 12 năm 2015,numeric__Số lượng cổ phiếu > Tại ngày 31 tháng 12 năm 2015,numeric__Giá trị theo sổ kế toán VND > Tại ngày 31 tháng 12 năm 2015,numeric__So với giá thị trường > Tăng VND > Tại ngày 31 tháng 12 năm 2015,numeric__So với giá thị trường > Giảm VND > Tại ngày 31 tháng 12 năm 2015,numeric__Tổng giá trị theo giá thị trường VND > Tại ngày 31 tháng 12 năm 2015
Chứng khoán thương mại,Chứng khoán thương mại,Chứng khoán thương mại,22.210.487,670.832.791.680,86.802.922.291,(42.513.048.144),715.122.665.827,22210487.0,670832791680.0,86802922291.0,-42513048144.0,715122665827.0
Cổ phiếu niêm yết (i),Cổ phiếu niêm yết (i),Cổ phiếu niêm yết (i),20.821.980,642.120.682.743,86.785.244.173,(20.490.082.215),708.415.844.701,20821980.0,642120682743.0,86785244173.0,-20490082215.0,708415844701.0
Cổ phiếu chưa niêm yết (ii),Cổ phiếu chưa niêm yết (ii),Cổ phiếu chưa niêm yết (ii),1.388.506,28.712.008.937,17.678.118,(22.022.965.929),6.706.721.126,1388506.0,28712008937.0,17678118.0,-22022965929.0,6706721126.0
Trái phiếu,Trái phiếu,Trái phiếu,1,100.000,-,-,100.000,1.0,100000.0,,,100000.0
Đầu tư ngắn hạn khác,Đầu tư ngắn hạn khác,Đầu tư ngắn hạn khác,-,4.391.100.000.000,-,-,4.391.100.000.000,,4391100000000.0,,,4391100000000.0
Tiền gửi có kỳ hạn trên ba tháng (iii),Tiền gửi có kỳ hạn trên ba tháng (iii),Tiền gửi có kỳ hạn trên ba tháng (iii),-,4.391.100.000.000,-,-,4.391.100.000.000,,4391100000000.0,,,4391100000000.0
,,,22.210.487,5.061.932.791.680,86.802.922.291,(42.513.048.144),5.106.222.665.827,22210487.0,5061932791680.0,86802922291.0,-42513048144.0,5106222665827.0
Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,,,,,
Chứng khoán thương mại,Tại ngày 31 tháng 12 năm 2014 > Chứng khoán thương mại,Chứng khoán thương mại,18.711.464,339.108.546.961,27.236.450.899,(73.653.786.065),292.691.211.795,18711464.0,339108546961.0,27236450899.0,-73653786065.0,292691211795.0
Cổ phiếu niêm yết,Tại ngày 31 tháng 12 năm 2014 > Cổ phiếu niêm yết,Cổ phiếu niêm yết,7.066.363,167.966.593.028,27.229.214.459,(1.314.628.366),193.881.179.122,7066363.0,167966593028.0,27229214459.0,-1314628366.0,193881179122.0
Cổ phiếu chưa niêm yết,Tại ngày 31 tháng 12 năm 2014 > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,11.645.100,171.141.853.932,7.236.440,(72.339.157.699),98.809.932.673,11645100.0,171141853932.0,7236440.0,-72339157699.0,98809932673.0
Trái phiếu,Tại ngày 31 tháng 12 năm 2014 > Trái phiếu,Trái phiếu,1,100.000,-,-,100.000,1.0,100000.0,,,100000.0
Đầu tư ngắn hạn khác,Tại ngày 31 tháng 12 năm 2014 > Đầu tư ngắn hạn khác,Đầu tư ngắn hạn khác,-,1.924.000.000.000,-,-,1.924.000.000.000,,1924000000000.0,,,1924000000000.0
Tiền gửi có kỳ hạn trên ba tháng,Tại ngày 31 tháng 12 năm 2014 > Tiền gửi có kỳ hạn trên ba tháng,Tiền gửi có kỳ hạn trên ba tháng,-,1.924.000.000.000,-,-,1.924.000.000.000,,1924000000000.0,,,1924000000000.0
,,,18.711.464,2.263.108.546.961,27.236.450.899,(73.653.786.065),2.216.691.211.795,18711464.0,2263108546961.0,27236450899.0,-73653786065.0,2216691211795.0
