row_label_raw,row_label_full,col_0,Tỷ lệ biểu quyết của Công ty %,Tỷ lệ sở hữu của Công ty %,Số cuối năm VND,Số đầu năm VND,numeric__Tỷ lệ biểu quyết của Công ty %,numeric__Tỷ lệ sở hữu của Công ty %,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Công ty Cổ phần Tập đoàn PAN,Công ty Cổ phần Tập đoàn PAN,Công ty Cổ phần Tập đoàn PAN,"20,01%","19,93%",428.152.498.940,238.871.479.158,0.20010000000000003,0.1993,428152498940.0,238871479158.0
Công ty Cổ phần Cáng Đồng Nai,Công ty Cổ phần Cáng Đồng Nai,Công ty Cổ phần Cáng Đồng Nai,"20,01%","20,00%",67.007.510.494,62.606.030.071,0.20010000000000003,0.2,67007510494.0,62606030071.0
Công ty Cổ phần Khử trùng Việt Nam,Công ty Cổ phần Khử trùng Việt Nam,Công ty Cổ phần Khử trùng Việt Nam,"20,06%","20,04%",142.257.104.957,122.964.194.036,0.2006,0.2004,142257104957.0,122964194036.0
Công ty Cổ phần Sản xuất Kinh doanh XNK Bình Thạnh,Công ty Cổ phần Sản xuất Kinh doanh XNK Bình Thạnh,Công ty Cổ phần Sản xuất Kinh doanh XNK Bình Thạnh,-,-,-,96.960.394.866,,,,96960394866.0
Công ty Cổ phần Giống cây trồng Miền Nam,Công ty Cổ phần Giống cây trồng Miền Nam,Công ty Cổ phần Giống cây trồng Miền Nam,-,-,-,78.668.460.888,,,,78668460888.0
Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,-,-,-,29.141.573.807,,,,29141573807.0
Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,-,-,-,158.366.014.557,,,,158366014557.0
Công ty Cổ phần Transimex-Saigon,Công ty Cổ phần Transimex-Saigon,Công ty Cổ phần Transimex-Saigon,-,-,-,150.240.358.241,,,,150240358241.0
Công ty Cổ phần Bibica,Công ty Cổ phần Bibica,Công ty Cổ phần Bibica,-,-,-,106.154.392.527,,,,106154392527.0
,,,,,637.417.114.391,1.043.972.898.151,,,637417114391.0,1043972898151.0
