row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm > Giá gốc,Giá trị ghi số > Số cuối năm > Dự phòng,Giá trị ghi số > Số đầu năm > Giá gốc,Giá trị ghi số > Số đầu năm > Dự phòng,Đơn vị: VND > Giá trị hợp lý > Số cuối năm,Đơn vị: VND > Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số > Số cuối năm > Giá gốc,numeric__Giá trị ghi số > Số cuối năm > Dự phòng,numeric__Giá trị ghi số > Số đầu năm > Giá gốc,numeric__Giá trị ghi số > Số đầu năm > Dự phòng,numeric__Đơn vị: VND > Giá trị hợp lý > Số cuối năm,numeric__Đơn vị: VND > Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua bảo cáo kết quả hoạt động kinh doanh,Tài sản tài chính > Tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua bảo cáo kết quả hoạt động kinh doanh,Tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua bảo cáo kết quả hoạt động kinh doanh,5.061.932.791.680,(42.513.048.144),2.263.108.546.961,(73.653.786.065),5.106.222.665.827,2.216.691.211.795,5061932791680.0,-42513048144.0,2263108546961.0,-73653786065.0,5106222665827.0,2216691211795.0
- Chứng khoán thương mại,Tài sản tài chính > - Chứng khoán thương mại,- Chứng khoán thương mại,670.832.791.680,(42.513.048.144),339.108.546.961,(73.653.786.065),715.122.665.827,292.691.211.795,670832791680.0,-42513048144.0,339108546961.0,-73653786065.0,715122665827.0,292691211795.0
Cổ phiếu niêm yết,Tài sản tài chính > Cổ phiếu niêm yết,Cổ phiếu niêm yết,642.120.682.743,(20.490.082.215),167.966.593.028,(1.314.628.366),708.415.844.701,193.881.179.122,642120682743.0,-20490082215.0,167966593028.0,-1314628366.0,708415844701.0,193881179122.0
Cổ phiếu chưa niêm yết,Tài sản tài chính > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,28.712.008.937,(22.022.965.929),171.141.853.932,(72.339.157.699),6.706.721.126,98.809.932.673,28712008937.0,-22022965929.0,171141853932.0,-72339157699.0,6706721126.0,98809932673.0
Trái phiếu,Tài sản tài chính > Trái phiếu,Trái phiếu,100.000,,100.000,,100.000,100.000,100000.0,,100000.0,,100000.0,100000.0
- Các khoản đầu tư giữ đến ngày đào hạn,Tài sản tài chính > - Các khoản đầu tư giữ đến ngày đào hạn,- Các khoản đầu tư giữ đến ngày đào hạn,4.391.100.000.000,,1.924.000.000.000,,4.391.100.000.000,1.924.000.000.000,4391100000000.0,,1924000000000.0,,4391100000000.0,1924000000000.0
Tiền gửi ngắn hạn,Tài sản tài chính > Tiền gửi ngắn hạn,Tiền gửi ngắn hạn,4.391.100.000.000,,1.924.000.000.000,,4.391.100.000.000,1.924.000.000.000,4391100000000.0,,1924000000000.0,,4391100000000.0,1924000000000.0
Phải thu khách hàng và các khoản phải thu khác,Tài sản tài chính > Phải thu khách hàng và các khoản phải thu khác,Phải thu khách hàng và các khoản phải thu khác,3.685.627.017.766,(3.431.111.960),2.250.536.058.605,(2.965.778.081),3.682.195.905.806,2.247.570.280.524,3685627017766.0,-3431111960.0,2250536058605.0,-2965778081.0,3682195905806.0,2247570280524.0
Tài sản tài chính sẵn sàng để bản,Tài sản tài chính > Tài sản tài chính sẵn sàng để bản,Tài sản tài chính sẵn sàng để bản,1.405.887.447.424,(146.859.977.453),819.968.163.892,(110.169.462.838),1.838.101.153.610,760.618.866.696,1405887447424.0,-146859977453.0,819968163892.0,-110169462838.0,1838101153610.0,760618866696.0
- Chứng khoán sẵn sàng để bản,Tài sản tài chính > - Chứng khoán sẵn sàng để bản,- Chứng khoán sẵn sàng để bản,1.405.887.447.424,(146.859.977.453),819.968.163.892,(110.169.462.838),1.838.101.153.610,60.618.866.696,1405887447424.0,-146859977453.0,819968163892.0,-110169462838.0,1838101153610.0,60618866696.0
Cổ phiếu niêm yết,Tài sản tài chính > Cổ phiếu niêm yết,Cổ phiếu niêm yết,1.105.147.594.845,(114.307.512.972),493.872.588.058,(68.077.726.036),1.542.613.861.001,468.676.996.327,1105147594845.0,-114307512972.0,493872588058.0,-68077726036.0,1542613861001.0,468676996327.0
Cổ phiếu chưa niêm yết,Tài sản tài chính > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,85.167.499.174,(32.552.464.481),108.968.507.171,(42.091.736.802),53.697.192.609,66.876.770.369,85167499174.0,-32552464481.0,108968507171.0,-42091736802.0,53697192609.0,66876770369.0
Trái phiếu (*),Tài sản tài chính > Trái phiếu (*),Trái phiếu (*),215.572.353.405,,217.127.068.663,,241.790.100.000,225.065.100.000,215572353405.0,,217127068663.0,,241790100000.0,225065100000.0
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,65.000.000.000,,538.617.000.000,(297.743.000.000),84.761.408.826,250.720.668.411,65000000000.0,,538617000000.0,-297743000000.0,84761408826.0,250720668411.0
- Đầu tư chứng khoán dài hạn khác,Tài sản tài chính > - Đầu tư chứng khoán dài hạn khác,- Đầu tư chứng khoán dài hạn khác,15.000.000.000,,538.617.000.000,(297.743.000.000),34.761.408.826,250.720.668.411,15000000000.0,,538617000000.0,-297743000000.0,34761408826.0,250720668411.0
- Tiền gửi có kỳ hạn trên 1 năm,Tài sản tài chính > - Tiền gửi có kỳ hạn trên 1 năm,- Tiền gửi có kỳ hạn trên 1 năm,50.000.000.000,,,,50.000.000.000,,50000000000.0,,,,50000000000.0,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.990.410.102.161,,1.952.651.885.005,,1.990.410.102.161,1.952.651.885.005,1990410102161.0,,1952651885005.0,,1990410102161.0,1952651885005.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,12.208.857.359.031,(192.804.137.557),7.824.881.654.463,(484.532.026.984),12.701.691.236.230,7.428.252.912.431,12208857359031.0,-192804137557.0,7824881654463.0,-484532026984.0,12701691236230.0,7428252912431.0
Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),,,,,,
Vay và nợ,Nợ phải trả tài chính (*) > Vay và nợ,Vay và nợ,4.601.347.967.537,,1.506.127.466.877,,4.601.347.967.537,1.506.127.466.877,4601347967537.0,,1506127466877.0,,4601347967537.0,1506127466877.0
Phải trả hoạt động giao dịch chứng khoán,Nợ phải trả tài chính (*) > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,1.550.598.384.658,,1.097.851.004.560,,1.550.598.384.658,1.097.851.004.560,1550598384658.0,,1097851004560.0,,1550598384658.0,1097851004560.0
