row_label_raw,row_label_full,Chứng khoán,Số lượng,Giá trị ghi số VND,Giảm so với giá thị trường VND,Tổng giá trị thị trường VND,numeric__Số lượng,numeric__Giá trị ghi số VND,numeric__Giảm so với giá thị trường VND,numeric__Tổng giá trị thị trường VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
KDC,Cổ phiếu niêm yết > KDC,KDC,29.481,768.078.392,(51.690.095),716.388.297,29481.0,768078392.0,-51690095.0,716388297.0
GAS,Cổ phiếu niêm yết > GAS,GAS,5.000,320.000.000,(139.000.000),181.000.000,5000.0,320000000.0,-139000000.0,181000000.0
VAF,Cổ phiếu niêm yết > VAF,VAF,2.751.782,67.766.743.877,(18.234.667.877),49.532.076.000,2751782.0,67766743877.0,-18234667877.0,49532076000.0
DBC,Cổ phiếu niêm yết > DBC,DBC,6.989.858,184.957.167.636,(2.064.724.243),182.892.443.393,6989858.0,184957167636.0,-2064724243.0,182892443393.0
,,,9.776.121,253.811.989.905,(20.490.082.215),233.321.907.690,9776121.0,253811989905.0,-20490082215.0,233321907690.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
CTCP Bả Hiển Viglacera,Cổ phiếu chưa niêm yết > CTCP Bả Hiển Viglacera,CTCP Bả Hiển Viglacera,6.054,253.765.058,(253.765.058),-,6054.0,253765058.0,-253765058.0,
CTCP Nhựa Sam Phú,Cổ phiếu chưa niêm yết > CTCP Nhựa Sam Phú,CTCP Nhựa Sam Phú,418.273,4.182.730.000,(2.760.601.800),1.422.128.200,418273.0,4182730000.0,-2760601800.0,1422128200.0
CTCP Công nghệ mới Kim tự tháp Việt Nam,Cổ phiếu chưa niêm yết > CTCP Công nghệ mới Kim tự tháp Việt Nam,CTCP Công nghệ mới Kim tự tháp Việt Nam,260.118,4.284.711.000,(3.504.357.000),780.354.000,260118.0,4284711000.0,-3504357000.0,780354000.0
CTCP E Den,Cổ phiếu chưa niêm yết > CTCP E Den,CTCP E Den,199.650,4.650.000.000,(3.452.100.000),1.197.900.000,199650.0,4650000000.0,-3452100000.0,1197900000.0
CTCP Bắt Đông Sản Đại Nam,Cổ phiếu chưa niêm yết > CTCP Bắt Đông Sản Đại Nam,CTCP Bắt Đông Sản Đại Nam,70.500,7.050.000.000,(7.050.000.000),-,70500.0,7050000000.0,-7050000000.0,
CTCP Đầu Tư Xây Dương Delta AGF,Cổ phiếu chưa niêm yết > CTCP Đầu Tư Xây Dương Delta AGF,CTCP Đầu Tư Xây Dương Delta AGF,200.000,2.000.000.000,(2.000.000.000),-,200000.0,2000000000.0,-2000000000.0,
CTCP Xây Dương Công Nghiệp Descon,Cổ phiếu chưa niêm yết > CTCP Xây Dương Công Nghiệp Descon,CTCP Xây Dương Công Nghiệp Descon,226.120,6.131.898.718,(2.884.409.496),3.247.489.222,226120.0,6131898718.0,-2884409496.0,3247489222.0
CTCP Dược phẩm Viễn Đông,Cổ phiếu chưa niêm yết > CTCP Dược phẩm Viễn Đông,CTCP Dược phẩm Viễn Đông,2.874,117.732.575,(117.732.575),-,2874.0,117732575.0,-117732575.0,
,,,1.383.589,28.670.837.351,(22.022.965.929),6.647.871.422,1383589.0,28670837351.0,-22022965929.0,6647871422.0
,,,11.159.710,282.482.827.256,(42.513.048.144),239.969.779.112,11159710.0,282482827256.0,-42513048144.0,239969779112.0
