row_label_raw,row_label_full,Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn_1,Đầu tư nấm giữ đến ngày đáo hạn_2,Đầu tư nấm giữ đến ngày đáo hạn_3,Đầu tư nấm giữ đến ngày đáo hạn_4,numeric__Đầu tư nấm giữ đến ngày đáo hạn_1,numeric__Đầu tư nấm giữ đến ngày đáo hạn_2,numeric__Đầu tư nấm giữ đến ngày đáo hạn_3,numeric__Đầu tư nấm giữ đến ngày đáo hạn_4
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
,,,31.12.2021,31.12.2021,31.12.2020,31.12.2020,31122021.0,31122021.0,31122020.0,31122020.0
,,,Giá gốc VND,Giá trị ghi sở VND,Giá gốc VND,Giá trị ghi sở VND,,,,
Tiền gửi có kỳ hạn (*),Ngắn hạn > Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),837.023.156.881,837.023.156.881,520.449.853.961,520.449.853.961,837023156881.0,837023156881.0,520449853961.0,520449853961.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,-,-,201.380.000.000,201.380.000.000,,,201380000000.0,201380000000.0
,,,837.023.156.881,837.023.156.881,721.829.853.961,721.829.853.961,837023156881.0,837023156881.0,721829853961.0,721829853961.0
