row_label_raw,row_label_full,Másố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Másố,Másố,Másố,,Thuyếtminh,2021VND,2020VND,,,,
01,Másố > 01,01,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHLợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao tài sản cố định (""TSCĐ""), bất động sảnđầu tư, phân bổ lợi thể thương mại và lãi từ giaodịch mua rè",,5.086.223.164.450,4.649.022.346.311,,,5086223164450.0,4649022346311.0
02,Másố > 02,02,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHLợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao tài sản cố định (""TSCĐ""), bất động sảnđầu tư, phân bổ lợi thể thương mại và lãi từ giaodịch mua rè",,(1.267.996.316.672),736.177.431.407,,,-1267996316672.0,736177431407.0
03,Másố > 03,03,(Hoàn nhập dự phòng)/Các khoản dự phòng,,(6.602.795.872),5.192.553.925,,,-6602795872.0,5192553925.0
04,Másố > 04,04,Lãi chênh lệch tỷ giá hối đoái,,(183.932.403.922),(27.868.814.565),,,-183932403922.0,-27868814565.0
05,Másố > 05,05,Lãi từ hoạt động đầu tư,,(1.789.917.676.879),(6.091.949.021.258),,,-1789917676879.0,-6091949021258.0
06,Másố > 06,06,Chi phí lãi vay và phát hành trái phiếu,,588.126.620.130,578.300.666.760,,,588126620130.0,578300666760.0
08,Másố > 08,08,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trướcnhững thay đổi vốn lưu động,,2.425.900.591.235,(151.124.837.420),,,2425900591235.0,-151124837420.0
09,Másố > 09,09,Tăng các khoản phải thu,,(15.450.033.326.328),(14.437.175.827.623),,,-15450033326328.0,-14437175827623.0
10,Másố > 10,10,Tăng hàng tồn kho,,(9.408.262.236.790),(14.079.277.627.374),,,-9408262236790.0,-14079277627374.0
11,Másố > 11,11,Tăng các khoản phải trả,,32.341.078.794.517,28.866.405.419.147,,,32341078794517.0,28866405419147.0
12,Másố > 12,12,Tăng chi phí trả trước,,(496.519.586.817),(215.741.856.085),,,-496519586817.0,-215741856085.0
14,Másố > 14,14,Tiền lãi vay đã trả,,(4.490.872.652.256),(3.153.979.701.397),,,-4490872652256.0,-3153979701397.0
15,Másố > 15,15,Thuế TNDN đã nộp,,(1.079.993.994.313),(314.609.953.451),,,-1079993994313.0,-314609953451.0
20,Másố > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,3.841.297.589.248,(3.485.504.384.203),,,3841297589248.0,-3485504384203.0
21,Másố > 21,21,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰTiền chỉ đề mua sắm, xây dựng TSCĐ và các tàisản dài hạn khác",,(895.880.921.185),(199.370.665.048),,,-895880921185.0,-199370665048.0
22,Másố > 22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ và tài sảndài hạn khác",,2.015.439.112,27.802.740.778,,,2015439112.0,27802740778.0
23,Másố > 23,23,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(10.924.035.996.542),(6.049.173.230.372),,,-10924035996542.0,-6049173230372.0
24,Másố > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ củadơn vị khác",,8.643.793.841.875,3.177.225.898.286,,,8643793841875.0,3177225898286.0
25,Másố > 25,25,Tiền chỉ đầu tư góp vốn vào đơn vị khác,,(13.595.623.128.728),(12.825.776.162.226),,,-13595623128728.0,-12825776162226.0
26,Másố > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,3.103.607.087.438,10.670.255.300.571,,,3103607087438.0,10670255300571.0
27,Másố > 27,27,"Tiền thu lãi tiền gửi, lãi cho vay, cổ tức và lợi nhuậndược chia",,531.509.868.720,288.396.281.192,,,531509868720.0,288396281192.0
30,Másố > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(13.134.613.809.310),(4.910.639.836.819),,,-13134613809310.0,-4910639836819.0
