row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31.12.2020,Năm tài chính kết thúc ngày 31.12.2020_1,Năm tài chính kết thúc ngày 31.12.2020_2,numeric__Năm tài chính kết thúc ngày 31.12.2020,numeric__Năm tài chính kết thúc ngày 31.12.2020_1,numeric__Năm tài chính kết thúc ngày 31.12.2020_2
,,,Số liệu báo cáo trước đây,Điều chỉnh,Số liệu trình bày lại,,,
Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),3.919.071.634.099,,3.919.071.634.099,3919071634099.0,,3919071634099.0
Cổ tức cổ phiếu ưu đãi (VND),Cổ tức cổ phiếu ưu đãi (VND),Cổ tức cổ phiếu ưu đãi (VND),-,,-,,,
Các khoản điều chỉnh (VND),Cổ tức cổ phiếu ưu đãi (VND) > Các khoản điều chỉnh (VND),Các khoản điều chỉnh (VND),275.981.966.149,,-,275981966149.0,,
Lợi nhuận tính lãi cơ bản trên mỗi cổ phiếu (VND),Cổ tức cổ phiếu ưu đãi (VND) > Lợi nhuận tính lãi cơ bản trên mỗi cổ phiếu (VND),Lợi nhuận tính lãi cơ bản trên mỗi cổ phiếu (VND),4.195.053.600.248,,3.919.071.634.099,4195053600248.0,,3919071634099.0
Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Cổ tức cổ phiếu ưu đãi (VND) > Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),974.649.690,649.735.180,1.624.384.870,974649690.0,649735180.0,1624384870.0
Số lượng cổ phiếu ưu đãi bắt buộc chuyển đổi (cổ phiếu),Số lượng cổ phiếu ưu đãi bắt buộc chuyển đổi (cổ phiếu),Số lượng cổ phiếu ưu đãi bắt buộc chuyển đổi (cổ phiếu),-,,-,,,
Số lượng cổ phiếu phổ thông tiềm năng (cổ phiếu),Số lượng cổ phiếu ưu đãi bắt buộc chuyển đổi (cổ phiếu) > Số lượng cổ phiếu phổ thông tiềm năng (cổ phiếu),Số lượng cổ phiếu phổ thông tiềm năng (cổ phiếu),88.511.060,,-,88511060.0,,
Bình quân số cổ phiếu phổ thông bao gồm cổ phiếu tiềm năng (cổ phiếu),Số lượng cổ phiếu ưu đãi bắt buộc chuyển đổi (cổ phiếu) > Bình quân số cổ phiếu phổ thông bao gồm cổ phiếu tiềm năng (cổ phiếu),Bình quân số cổ phiếu phổ thông bao gồm cổ phiếu tiềm năng (cổ phiếu),1.063.160.750,649.735.180,1.624.384.870,1063160750.0,649735180.0,1624384870.0
Lãi suy giảm trên mỗi cổ phiếu (VND),Số lượng cổ phiếu ưu đãi bắt buộc chuyển đổi (cổ phiếu) > Lãi suy giảm trên mỗi cổ phiếu (VND),Lãi suy giảm trên mỗi cổ phiếu (VND),3.946,,2.413,3946.0,,2413.0
