row_label_raw,row_label_full,STT,Tên,Địa điểm,Hoạt động kinh doanh chính,31.12.2021,31.12.2021_1,31.12.2020,31.12.2020_1,numeric__Tên,numeric__Địa điểm,numeric__Hoạt động kinh doanh chính,numeric__31.12.2021,numeric__31.12.2021_1,numeric__31.12.2020,numeric__31.12.2020_1
STT,STT,STT,Tên,Địa điểm,Hoạt động kinh doanh chính,Quyền sở hữu (%),Quyền biểu quyết (%),Quyền sở hữu (%),Quyền biểu quyết (%),,,,,,,
II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,,,,,,,
1,II - Công ty liên kết > 1,1,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,TP Hồ Chí Minh,"Kinh doanh buôn bán thiết bị, linh kiện điện tử, viễn thông","37,75","37,75","37,75","37,75",,,,37.75,37.75,37.75,37.75
2,II - Công ty liên kết > 2,2,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,TP Hồ Chí Minh,Kinh doanh bất động sản,"25,00","25,00","25,00","25,00",,,,25.0,25.0,25.0,25.0
3,II - Công ty liên kết > 3,3,Công ty TNHH Sài Gòn Gôn,TP Hồ Chí Minh,Kinh doanh bất động sản,"50,00","50,00","49,86","50,00",,,,50.0,50.0,49.86,50.0
4,II - Công ty liên kết > 4,4,Công ty Cổ phần Đầu tư Nova SQN,TP Hồ Chí Minh,Kinh doanh bất động sản,"49,72","49,72","49,72","49,72",,,,49.72,49.72,49.72,49.72
5,II - Công ty liên kết > 5,5,Công ty Cổ phần Hùng Ngự Security,TP Hồ Chí Minh,Hoạt động bảo vệ cá nhân,"23,99","24,00","23,98","24,00",,,,23.99,24.0,23.98,24.0
6,II - Công ty liên kết > 6,6,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,TP Hồ Chí Minh,Kinh doanh bất động sản,"48,98","48,98","48,98","48,98",,,,48.98,48.98,48.98,48.98
7,II - Công ty liên kết > 7,7,Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1,Tỉnh Đồng Nai,Kinh doanh bất động sản,"48,89","49,00",-,-,,,,48.89,49.0,,
8,II - Công ty liên kết > 8,8,Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2,Tỉnh Đồng Nai,Kinh doanh bất động sản,"48,99","49,00",-,-,,,,48.99,49.0,,
9,II - Công ty liên kết > 9,9,Công ty Cổ phần Căng Phú Định (vii),TP Hồ Chí Minh,"Hoạt động hỗ trợ liên quan đến vận tải, kinh doanh bất động sản",-,-,"43,45","43,45",,,,,,43.45,43.45
