row_label_raw,row_label_full,Tên công ty,31.12.2021 > Giá trị ghi sổ VND,31.12.2021 > Giá trị hợp lý VND,31.12.2021 > Dự phòng VND,31.12.2020 > Giá trị ghi sổ VND,31.12.2020 > Giá trị hợp lý VND,31.12.2020 > Dự phòng VND,numeric__31.12.2021 > Giá trị ghi sổ VND,numeric__31.12.2021 > Giá trị hợp lý VND,numeric__31.12.2021 > Dự phòng VND,numeric__31.12.2020 > Giá trị ghi sổ VND,numeric__31.12.2020 > Giá trị hợp lý VND,numeric__31.12.2020 > Dự phòng VND
Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,583.617.760.053,(*),-,584.864.202.133,(*),-,583617760053.0,,,584864202133.0,,
Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,154.866.080.021,(*),-,152.688.737.269,(*),-,154866080021.0,,,152688737269.0,,
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,78.040.183.425,(*),-,74.903.246.979,(*),-,78040183425.0,,,74903246979.0,,
Công ty Cổ phần Đầu tư Nova SQN,Công ty Cổ phần Đầu tư Nova SQN,Công ty Cổ phần Đầu tư Nova SQN,12.559.865.448,,-,21.101.988.860,,-,12559865448.0,,,21101988860.0,,
Công ty Cổ phần Hùng Ngư Security,Công ty Cổ phần Hùng Ngư Security,Công ty Cổ phần Hùng Ngư Security,2.482.305.939,(*),-,2.378.785.939,(*),-,2482305939.0,,,2378785939.0,,
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,875.701.581,(*),-,910.121.571,(*),-,875701581.0,,,910121571.0,,
Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1 (i),Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1 (i),Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1 (i),367.007.795.583,(*),-,-,,-,367007795583.0,,,,,
Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2 (ii),Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2 (ii),Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2 (ii),385.086.043.482,(*),-,-,,-,385086043482.0,,,,,
Công ty Cổ phần Cảng Phú Định,Công ty Cổ phần Cảng Phú Định,Công ty Cổ phần Cảng Phú Định,-,,-,808.355.943.278,(*),-,,,,808355943278.0,,
,,,1.584.535.735.532,,-,1.645.203.026.029,,-,1584535735532.0,,,1645203026029.0,,
