row_label_raw,row_label_full,Số dư đầu năm,Năm tài chính kết thúc ngày31.12.2021VND > 1.645.203.026.029,Năm tài chính kết thúc ngày31.12.2020VND > 5.694.610.841.185,numeric__Năm tài chính kết thúc ngày31.12.2021VND > 1.645.203.026.029,numeric__Năm tài chính kết thúc ngày31.12.2020VND > 5.694.610.841.185
Chuyển từ công ty con thành công ty liên kết,Chuyển từ công ty con thành công ty liên kết,Chuyển từ công ty con thành công ty liên kết,-,1.391.145.565.872,,1391145565872.0
Đầu tư thêm trong năm,Đầu tư thêm trong năm,Đầu tư thêm trong năm,752.318.000.000,480.000.000,752318000000.0,480000000.0
Lãi/ (lỗ) từ các công ty liên kết,Lãi/ (lỗ) từ các công ty liên kết,Lãi/ (lỗ) từ các công ty liên kết,284.218.826,(2.552.533.101),284218826.0,-2552533101.0
Thanh lý khoản đầu tư trong năm(Thuyết minh 1(vii)),Thanh lý khoản đầu tư trong năm(Thuyết minh 1(vii)),Thanh lý khoản đầu tư trong năm(Thuyết minh 1(vii)),(810.869.509.323),-,-810869509323.0,
Chuyển từ công ty liên kết sang công ty con,Chuyển từ công ty liên kết sang công ty con,Chuyển từ công ty liên kết sang công ty con,-,(5.436.080.847.927),,-5436080847927.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,(2.400.000.000),(2.400.000.000),-2400000000.0,-2400000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.584.535.735.532,1.645.203.026.029,1584535735532.0,1645203026029.0
