row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2021VND,Số phát sinhtrong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2021VND,numeric__col_1,numeric__Tại ngày1.1.2021VND,numeric__Số phát sinhtrong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2021VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(1.100.087.503.087),(1.243.231.118.753),1.317.305.098.762,-,(1.026.013.523.078),,-1100087503087.0,-1243231118753.0,1317305098762.0,,-1026013523078.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(46.308.221.699),(15.400.965.909),60.840.213.023,(169.604.369.337),(170.473.343.922),,-46308221699.0,-15400965909.0,60840213023.0,-169604369337.0,-170473343922.0
(a),(a) > (a),(a),Thuế TNDN nộp thừa,(4.908.389.539),274.811.668,104.891.238,(204.652.898),(4.733.339.531),,-4908389539.0,274811668.0,104891238.0,-204652898.0,-4733339531.0
(a),(a) > (a),(a),Thuế khác,(78.747.540),(192.807.729),6.012.258,(189.113.001),(454.656.012),,-78747540.0,-192807729.0,6012258.0,-189113001.0,-454656012.0
(a),(a) > (a),(a),,(1.151.382.861.865),(1.258.550.080.723),1.378.256.215.281,(169.998.135.236),(1.201.674.862.543),,-1151382861865.0,-1258550080723.0,1378256215281.0,-169998135236.0,-1201674862543.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế TNDN,148.984.016.642,1.323.058.409.258,(60.945.104.261),(910.184.972.078),500.912.349.561,,148984016642.0,1323058409258.0,-60945104261.0,-910184972078.0,500912349561.0
(b),(b) > (b),(b),Thuế GTGT hàng bán nội địa,83.607.440.253,2.446.245.103.574,(1.317.305.098.762),(1.090.371.834.212),122.175.610.853,,83607440253.0,2446245103574.0,-1317305098762.0,-1090371834212.0,122175610853.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,19.547.359.751,106.005.885.787,(6.012.258),(107.702.210.745),17.845.022.535,,19547359751.0,106005885787.0,-6012258.0,-107702210745.0,17845022535.0
(b),(b) > (b),(b),Tiền sử dụng đất,-,33.785.262.532,-,(33.785.262.532),-,,,33785262532.0,,-33785262532.0,
(b),(b) > (b),(b),Thuế khác,30.296.604.339,137.482.982.681,-,(149.222.797.114),18.556.789.906,,30296604339.0,137482982681.0,,-149222797114.0,18556789906.0
(b),(b) > (b),(b),,282.435.420.985,4.046.577.643.832,(1.378.256.215.281),(2.291.267.076.681),659.489.772.855,,282435420985.0,4046577643832.0,-1378256215281.0,-2291267076681.0,659489772855.0
