row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,917.689.637.979,62.719.452.617,223.479.187.374,73.498.854.131,453.139.091,1.277.840.271.192,917689637979.0,62719452617.0,223479187374.0,73498854131.0,453139091.0,1277840271192.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,7.107.393.689,4.485.345.825,33.765.771.460,12.994.667.866,-,58.353.178.840,7107393689.0,4485345825.0,33765771460.0,12994667866.0,,58353178840.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,665.524.737.721,-,-,-,-,665.524.737.721,665524737721.0,,,,,665524737721.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),-,41.889.600,14.203.033.974,-,-,14.244.923.574,,41889600.0,14203033974.0,,,14244923574.0
Chuyển từ bất động sản đầu tư(Thuyết minh 15),Nguyên giá > Chuyển từ bất động sản đầu tư(Thuyết minh 15),Chuyển từ bất động sản đầu tư(Thuyết minh 15),5.950.477.083,-,-,-,-,5.950.477.083,5950477083.0,,,,,5950477083.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,142.500.000,142.500.000,,,,,142500000.0,142500000.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,390.000.000,(390.000.000),-,-,,,390000000.0,-390000000.0,,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(191.074.332),(1.774.018.000),(1.454.025.689),(58.272.727),(3.477.390.748),,-191074332.0,-1774018000.0,-1454025689.0,-58272727.0,-3477390748.0
Giảm do thoái vốn công ty con,Nguyên giá > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(409.145.359.443),(21.219.904.837),(1.555.743.728),(20.741.581.510),(73.530.000),(452.736.119.518),-409145359443.0,-21219904837.0,-1555743728.0,-20741581510.0,-73530000.0,-452736119518.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(924.591.708),-,-,-,-,(924.591.708),-924591708.0,,,,,-924591708.0
