row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhân hiệu, tên thương mại VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhân hiệu, tên thương mại VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,57.754.517.947,30.000.000,105.856.629.560,163.641.147.507,57754517947.0,30000000.0,105856629560.0,163641147507.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,910.480.950,910.480.950,,,910480950.0,910480950.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,-,(3.600.429.435),(3.600.429.435),,,-3600429435.0,-3600429435.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,57.754.517.947,30.000.000,103.166.681.075,160.951.199.022,57754517947.0,30000000.0,103166681075.0,160951199022.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,(30.000.000),(47.083.697.425),(47.113.697.425),,-30000000.0,-47083697425.0,-47113697425.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,(18.895.927.785),(18.895.927.785),,,-18895927785.0,-18895927785.0
Giảm do bán công ty con,Giá trị khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,-,1.721.199.844,1.721.199.844,,,1721199844.0,1721199844.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,(30.000.000),(64.258.425.366),(64.288.425.366),,-30000000.0,-64258425366.0,-64288425366.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,57.754.517.947,-,58.772.932.135,116.527.450.082,57754517947.0,,58772932135.0,116527450082.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,57.754.517.947,-,38.908.255.709,96.662.773.656,57754517947.0,,38908255709.0,96662773656.0
