row_label_raw,row_label_full,col_0,31.12.2021 > Giá trị VND,31.12.2021 > Dự phòng VND,31.12.2020 > Giá trị VND,31.12.2020 > Dự phòng VND,numeric__31.12.2021 > Giá trị VND,numeric__31.12.2021 > Dự phòng VND,numeric__31.12.2020 > Giá trị VND,numeric__31.12.2020 > Dự phòng VND
"Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)",6.270.356.295.518,-,2.637.784.295.518,-,6270356295518.0,,2637784295518.0,
Đặt cọc nhận chuyển nhượng quyền sử dụng đất và dự án,Đặt cọc nhận chuyển nhượng quyền sử dụng đất và dự án,Đặt cọc nhận chuyển nhượng quyền sử dụng đất và dự án,2.404.021.296.159,-,2.163.427.461.500,-,2404021296159.0,,2163427461500.0,
Phải thu do thanh lý hợp đồng,Phải thu do thanh lý hợp đồng,Phải thu do thanh lý hợp đồng,2.000.000.000.000,-,-,-,2000000000000.0,,,
Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,825.527.909.539,-,255.473.517.227,-,825527909539.0,,255473517227.0,
Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,320.000.000.000,-,64.000.000.000,-,320000000000.0,,64000000000.0,
"Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư",1.176.064.328.099,-,223.725.777.770,-,1176064328099.0,,223725777770.0,
Phát triển và hợp tác đầu tư dự án,Phát triển và hợp tác đầu tư dự án,Phát triển và hợp tác đầu tư dự án,403.430.000.000,-,240.830.000.000,-,403430000000.0,,240830000000.0,
Phải thu liên quan đến Sài Gòn Gôn (**),Phải thu liên quan đến Sài Gòn Gôn (**),Phải thu liên quan đến Sài Gòn Gôn (**),388.560.000.000,-,388.560.000.000,-,388560000000.0,,388560000000.0,
Tạm ứng cho các dự án,Tạm ứng cho các dự án,Tạm ứng cho các dự án,349.017.067.006,-,348.422.056.100,-,349017067006.0,,348422056100.0,
Phải thu từ chuyển nhượng công ty con,Phải thu từ chuyển nhượng công ty con,Phải thu từ chuyển nhượng công ty con,286.065.500.000,-,776.065.500.000,-,286065500000.0,,776065500000.0,
"Đặt cọc, ký quỹ dự án","Đặt cọc, ký quỹ dự án","Đặt cọc, ký quỹ dự án",78.254.134.192,-,78.254.134.192,-,78254134192.0,,78254134192.0,
Ứng hoàn vốn,Ứng hoàn vốn,Ứng hoàn vốn,-,-,196.000.000.000,-,,,196000000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,916.910.145.926,-,696.429.605.290,-,916910145926.0,,696429605290.0,
,,,15.418.206.676.439,-,8.069.327.416.090,-,15418206676439.0,,8069327416090.0,
