row_label_raw,row_label_full,Giấy chứng nhận đăng ký doanh nghiệp > Hội đồng Quản trị,Số 054350 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 18 tháng 9 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp số 0301444753 thay đổi gần nhất lần thứ 63 ngày 27 tháng 1 năm 2022. > Ông Bùi Xuân Huy > Ông Bùi Thành Nhơn,Số 054350 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 18 tháng 9 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp số 0301444753 thay đổi gần nhất lần thứ 63 ngày 27 tháng 1 năm 2022. > Chủ tịch(từ ngày 20 tháng 1 năm 2022) > Chủ tịch(đến ngày 19 tháng 1 năm 2022),numeric__Số 054350 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 18 tháng 9 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp số 0301444753 thay đổi gần nhất lần thứ 63 ngày 27 tháng 1 năm 2022. > Ông Bùi Xuân Huy > Ông Bùi Thành Nhơn,numeric__Số 054350 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 18 tháng 9 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp số 0301444753 thay đổi gần nhất lần thứ 63 ngày 27 tháng 1 năm 2022. > Chủ tịch(từ ngày 20 tháng 1 năm 2022) > Chủ tịch(đến ngày 19 tháng 1 năm 2022)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Hoàng Thu Châu,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Phạm Tiến Vân,Thành viên độc lập,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Quốc Hùng,Thành viên độc lập,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Nguyễn Mỹ Hạnh,Thành viên độc lập,,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Bà Nguyễn Mỹ Hạnh,Trưởng ban,,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ông Lê Quốc Hùng,Thành viên,,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ông Phạm Tiến Vân,Thành viên,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Ngọc Huyên,Tổng Giám đốc(từ ngày 20 tháng 1 năm 2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Bùi Xuân Huy,Tổng Giám đốc(đến ngày 19 tháng 1 năm 2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Dương Thị Thu Thủy,Phó Tổng Giám đốc(từ ngày 20 tháng 1 năm 2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Võ Thị Cao Ly,Phó Tổng Giám đốc(từ ngày 20 tháng 1 năm 2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Hoàng Thu Châu,Phó Tổng Giám đốc(đến ngày 19 tháng 1 năm 2022),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Nguyễn Ngọc Huyên,Tổng Giám đốc(từ ngày 24 tháng 1 năm 2022),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Bùi Xuân Huy,Tổng Giám đốc(đến ngày 23 tháng 1 năm 2022),,
Trụ sở chính,Trụ sở chính,Trụ sở chính,"313B - 315 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3,Thành phố Hồ Chí Minh, Việt Nam","313B - 315 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3,Thành phố Hồ Chí Minh, Việt Nam",,
Chi nhánh,Chi nhánh,Chi nhánh,"Cao ốc Văn phòng, 152 Điện Biên Phủ, Phường 25,Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","Cao ốc Văn phòng, 152 Điện Biên Phủ, Phường 25,Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH PwC (Việt Nam),Công ty TNHH PwC (Việt Nam),,
