row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,75.092.806.364,3.023.731.583.228,3.098.824.389.592,75092806364.0,3023731583228.0,3098824389592.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,58.025.551.057,58.025.551.057,,58025551057.0,58025551057.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),-,26.198.550.711,26.198.550.711,,26198550711.0,26198550711.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,14.857.401.601,14.857.401.601,,14857401601.0,14857401601.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(100.781.763.429),(100.781.763.429),,-100781763429.0,-100781763429.0
Chuyển sang TSCĐ hữu hình (Thuyết minh 13),Nguyên giá > Chuyển sang TSCĐ hữu hình (Thuyết minh 13),Chuyển sang TSCĐ hữu hình (Thuyết minh 13),-,(5.950.477.083),(5.950.477.083),,-5950477083.0,-5950477083.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,75.092.806.364,3.016.080.846.085,3.091.173.652.449,75092806364.0,3016080846085.0,3091173652449.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,(274.576.638.672),(274.576.638.672),,-274576638672.0,-274576638672.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(66.226.354.550),(66.226.354.550),,-66226354550.0,-66226354550.0
Chuyển sang hàng tồn kho,Giá trị khấu hao lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,3.396.241.833,3.396.241.833,,3396241833.0,3396241833.0
Chuyển sang TSCĐ hữu hình (Thuyết minh 13),Giá trị khấu hao lũy kế > Chuyển sang TSCĐ hữu hình (Thuyết minh 13),Chuyển sang TSCĐ hữu hình (Thuyết minh 13),-,416.533.398,416.533.398,,416533398.0,416533398.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,(336.990.217.991),(336.990.217.991),,-336990217991.0,-336990217991.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,75.092.806.364,2.749.154.944.556,2.824.247.750.920,75092806364.0,2749154944556.0,2824247750920.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,75.092.806.364,2.679.090.628.094,2.754.183.434.458,75092806364.0,2679090628094.0,2754183434458.0
