row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017(Triệu VND),Quá hạn dưới3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 năm đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn dưới3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 năm đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.996.822,-,-,-,-,1.996.822,,,1996822.0,,,,,1996822.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.447.672,-,-,-,-,3.447.672,,,3447672.0,,,,,3447672.0
Tiền gửi và cho vay các TCTD khác – gộp,Tải sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,222.125,6.466.057,1.305.807,719.400,-,-,8.713.389,,222125.0,6466057.0,1305807.0,719400.0,,,8713389.0
Chứng khoán kinh doanh – gộp,Tải sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,127.927,-,-,-,-,127.927,,,127927.0,,,,,127927.0
Cho vay khách hàng – gộp,Tải sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.215.825,789.321,3.484.986,6.428.682,8.892.550,10.480.575,4.898.514,36.190.453,1215825.0,789321.0,3484986.0,6428682.0,8892550.0,10480575.0,4898514.0,36190453.0
Hoạt động mua nợ – gộp,Tải sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,2.643,48.965,390,121,418,1.125,483,54.145,2643.0,48965.0,390.0,121.0,418.0,1125.0,483.0,54145.0
Chứng khoán đầu tư – gộp,Tải sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,1.202.382,-,1.514.586,24.281.035,19.250.320,46.248.323,,,1202382.0,,1514586.0,24281035.0,19250320.0,46248323.0
"Góp vốn, đầu tư dài hạn – gộp","Tải sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,797.527,797.527,,,,,,,797527.0,797527.0
Tài sản cố định – thuần,Tải sản > Tài sản cố định – thuần,Tài sản cố định – thuần,-,-,-,-,-,-,551.982,551.982,,,,,,,551982.0,551982.0
Tài sản có khác – gộp,Tải sản > Tài sản có khác – gộp,Tài sản có khác – gộp,-,-,138.939,1.628.551,3.669.627,1.518.611,9.997.625,16.953.353,,,138939.0,1628551.0,3669627.0,1518611.0,9997625.0,16953353.0
,,,1.218.468,1.060.411,16.865.175,9.363.161,14.796.581,36.281.346,35.496.451,115.081.593,1218468.0,1060411.0,16865175.0,9363161.0,14796581.0,36281346.0,35496451.0,115081593.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả NHNN và Chính phủ,Nợ phải trả > Nợ phải trả NHNN và Chính phủ,Nợ phải trả NHNN và Chính phủ,-,-,1.990.119,-,-,-,29.538,2.019.657,,,1990119.0,,,,29538.0,2019657.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,17.841.434,11.014.181,1.212.343,-,-,30.067.958,,,17841434.0,11014181.0,1212343.0,,,30067958.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,27.333.668,11.642.911,15.815.585,2.039.203,141,56.831.508,,,27333668.0,11642911.0,15815585.0,2039203.0,141.0,56831508.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,78.530,612,(26.418),-,-,52.724,,,78530.0,612.0,-26418.0,,,52724.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.047,-,5.267.737,115,2.000.000,7.268.899,,,1047.0,,5267737.0,115.0,2000000.0,7268899.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.697.994,267.733,681.033,-,-,2.646.760,,,1697994.0,267733.0,681033.0,,,2646760.0
,,,-,-,48.942.792,22.925.437,22.950.280,2.039.318,2.029.679,98.887.506,,,48942792.0,22925437.0,22950280.0,2039318.0,2029679.0,98887506.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.218.468,1.060.411,(32.077.617),(13.562.276),(8.153.699),34.242.028,33.466.772,16.194.087,1218468.0,1060411.0,-32077617.0,-13562276.0,-8153699.0,34242028.0,33466772.0,16194087.0
