row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2017,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuếcho năm kết thúc ngày31/12/2017(Triệu VND),numeric__Mức tănglãi suất31/12/2017,numeric__Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuếcho năm kết thúc ngày31/12/2017(Triệu VND)
VND,VND,VND,"1,00%",(70.961),0.01,-70961.0
USD,USD,USD,"0,25%",(9.108),0.0025,-9108.0
