row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND
X,X,X,Tài sản Có khác,16,16.427.686,12.635.347,,16.0,16427686.0,12635347.0
1,1,1,Các khoản phải thu,,8.279.284,6.223.130,,,8279284.0,6223130.0
2,2,2,"Các khoản lãi, phí phải thu",,3.376.869,2.774.998,,,3376869.0,2774998.0
3,3,3,Tài sản Có khác,,5.297.200,3.820.076,,,5297200.0,3820076.0
4,4,4,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(525.667),(182.857),,,-525667.0,-182857.0
,,,TỔNG TÀI SẢN,,112.589.321,92.293.871,,,112589321.0,92293871.0
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,17,2.019.657,4.386.050,,17.0,2019657.0,4386050.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,30.067.958,11.040.942,,18.0,30067958.0,11040942.0
1,B > 1,1,Tiền gửi của các TCTD khác,,13.398.764,4.207.774,,,13398764.0,4207774.0
2,B > 2,2,Vay các TCTD khác,,16.669.194,6.833.168,,,16669194.0,6833168.0
III,B > III,III,Tiền gửi của khách hàng,19,56.831.508,57.665.951,,19.0,56831508.0,57665951.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và nợ phải trả tài chính khác,20,52.724,51.505,,20.0,52724.0,51505.0
V,B > V,V,Phát hành giấy tờ có giá,21,7.268.899,3.378.047,,21.0,7268899.0,3378047.0
VI,B > VI,VI,Các khoản nợ khác,22,2.646.760,2.194.891,,22.0,2646760.0,2194891.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.361.447,1.325.123,,,1361447.0,1325123.0
2,B > 2,2,Các khoản phải trả và công nợ khác,,1.285.313,869.768,,,1285313.0,869768.0
,,,TỔNG NỘ PHẢI TRẢ,,98.887.506,78.717.386,,,98887506.0,78717386.0
