row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,35.407,380.849,88.445,83.870,837,589.408,35407.0,380849.0,88445.0,83870.0,837.0,589408.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,39.822,-,9.348,35,49.205,,39822.0,,9348.0,35.0,49205.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(4.477),(12.373),(2.402),(3.228),-,(22.480),-4477.0,-12373.0,-2402.0,-3228.0,,-22480.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(32),-,-,-,(32),,-32.0,,,,-32.0
Số dư tại ngày 31 tháng 12 năm 2017,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,30.930,408.266,86.043,89.990,872,616.101,30930.0,408266.0,86043.0,89990.0,872.0,616101.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,15.232,305.284,55.095,74.029,754,450.394,15232.0,305284.0,55095.0,74029.0,754.0,450394.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,689,42.471,8.207,8.393,66,59.826,689.0,42471.0,8207.0,8393.0,66.0,59826.0
Thanh lý trong năm,Hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(2.659),(10.647),(2.048),(3.096),-,(18.450),-2659.0,-10647.0,-2048.0,-3096.0,,-18450.0
Số dư tại ngày 31 tháng 12 năm 2017,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,13.262,337.108,61.254,79.326,820,491.770,13262.0,337108.0,61254.0,79326.0,820.0,491770.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,20.175,75.565,33.350,9.841,83,139.014,20175.0,75565.0,33350.0,9841.0,83.0,139014.0
Số dư tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,17.668,71.158,24.789,10.664,52,124.331,17668.0,71158.0,24789.0,10664.0,52.0,124331.0
